Address,Title_link,Sale price,list-card-type,Bedrooms,Bathrooms,Area,Zestimate,Type,Year built,Heating,Cooling,Parking,HOA / Lot,Price / sqft,Green energy,Monthly cost,Principal and interest,Mortage insurance,Property taxes,Home insurance,HOA fees,Utilities
"13312 Peconic St, Jamaica, NY 11417",https://www.zillow.com/homedetails/13312-Peconic-St-Jamaica-NY-11417/32169919_zpid/,"$600,000",House for sale,3 bds,1 ba,"1,360 sqft",,Single Family,1950,Other,No Data,Attached Garage,"3,301 sqft",$441,Great solar potentialSun Number™: 86.99,"$2,957","$2,327/mo",$0/mo,$420/mo,$210/mo,$0/mo,Not included
"176 Parkview Loop, Staten Island, NY 10314",https://www.zillow.com/homedetails/176-Parkview-Loop-Staten-Island-NY-10314/32303822_zpid/,"$300,000",Townhouse for sale,3 bds,2 ba,"1,142 sqft","$292,263",Townhouse,1980,Forced air,Central,No Data,"1,141 sqft",$263,Candidate for a community solar programSun Number™: 23.02,"$1,821","$1,229/mo",$0/mo,$218/mo,$105/mo,$270/mo,Not included
"59 Lawrence Ave, Staten Island, NY 10310",https://www.zillow.com/homedetails/59-Lawrence-Ave-Staten-Island-NY-10310/32278219_zpid/,"$609,000",For sale by owner,3 bds,2 ba,"1,677 sqft","$558,606",Single Family,1923,No Data,No Data,3 spaces,"3,330 sqft",$363,Great solar potentialSun Number™: 91.02,"$3,017","$2,362/mo",$0/mo,$442/mo,$213/mo,$0/mo,Not included
"2636 E 23rd St # 4, Brooklyn, NY 11235",https://www.zillow.com/homedetails/2636-E-23rd-St-4-Brooklyn-NY-11235/2082086342_zpid/,"$870,000",Condo for sale,3 bds,2 ba,"1,500 sqft","$835,807",Condo,2000,No Data,Central,No Data,$100/month,$580,,"$4,251","$3,375/mo",$0/mo,$471/mo,$305/mo,$100/mo,Not included
"181 Park Ave, Brooklyn, NY 11205",https://www.zillow.com/homedetails/181-Park-Ave-Brooklyn-NY-11205/30614949_zpid/,"$2,495,000",Apartment for sale,4 bds,4 ba,"1,530 sqft","$2,390,532",Multi Family,1899,No Data,Central,No Data,"$1,631",,Great solar potentialSun Number™: 83.85,"$12,177","$9,953/mo",$0/mo,"$1,351/mo",$873/mo,$0/mo,Not included
"1652 E 14th St, Brooklyn, NY 11229",https://www.zillow.com/homedetails/1652-E-14th-St-Brooklyn-NY-11229/30726861_zpid/,"$3,200,000",Apartment for sale,6 bds,3 ba,"2,969 sqft","$3,043,381",Multi Family,1920,No Data,No Data,No Data,"$1,078",,Limited solar potentialSun Number™: 46.25,"$15,618","$12,765/mo",$0/mo,"$1,733/mo","$1,120/mo",$0/mo,Not included
"2305 E 14th St, Brooklyn, NY 11229",https://www.zillow.com/homedetails/2305-E-14th-St-Brooklyn-NY-11229/30746677_zpid/,"$1,380,000",Apartment for sale,5 bds,4 ba,"1,896 sqft","$1,312,312",Multi Family,1920,No Data,No Data,No Data,$728,,Candidate for a community solar programSun Number™: 23,"$6,735","$5,505/mo",$0/mo,$748/mo,$483/mo,$0/mo,Not included
"657 E 26th St APT 4B, Brooklyn, NY 11210",https://www.zillow.com/homedetails/657-E-26th-St-APT-4B-Brooklyn-NY-11210/245001164_zpid/,"$440,000",Co-op for sale,2 bds,1 ba,"118,398 sqft","$432,387",Cooperative,1941,No Data,No Data,No Data,$4,,Great solar potentialSun Number™: 93.45,"$2,195","$1,802/mo",$0/mo,$238/mo,$154/mo,$0/mo,Not included
"2928 W 5th St APT 9L, Brooklyn, NY 11224",https://www.zillow.com/homedetails/2928-W-5th-St-APT-9L-Brooklyn-NY-11224/245034976_zpid/,"$459,000",Co-op for sale,2 bds,1 ba,"1,050 sqft","$451,220",Cooperative,1964,No Data,No Data,No Data,$437,,Great solar potentialSun Number™: 95,"$3,112","$1,880/mo",$0/mo,$249/mo,$161/mo,$823/mo,Not included
"8 Saint Marks Pl # 3A, Brooklyn, NY 11217",https://www.zillow.com/homedetails/8-Saint-Marks-Pl-3A-Brooklyn-NY-11217/2084255144_zpid/,"$1,545,000",Condo for sale,3 bds,2 ba,"1,276 sqft","$1,508,311",Condo,2019,No Data,No Data,No Data,$686/month,"$1,211",,"$8,227","$6,163/mo",$0/mo,$837/mo,$541/mo,$686/mo,Not included
"26 Beaver St APT 16, New York, NY 10004",https://www.zillow.com/homedetails/26-Beaver-St-APT-16-New-York-NY-10004/244877437_zpid/,"$1,800,000",Co-op for sale,2 bds,1 ba,"2,350 sqft","$1,727,999",Cooperative,1909,No Data,No Data,No Data,$766,,Candidate for a community solar programSun Number™: 21.86,"$12,802","$7,180/mo",$0/mo,"$1,320/mo",$630/mo,"$3,672/mo",Not included
"340 W 57th St APT 14D, New York, NY 10019",https://www.zillow.com/homedetails/340-W-57th-St-APT-14D-New-York-NY-10019/31515207_zpid/,"$2,395,000",Condo for sale,1 bd,1 ba,"1,165 sqft","$2,287,224",Condo,1929,Forced air,Other,No Data,"$1,838/month","$2,056",Great solar potentialSun Number™: 94.99,"$13,986","$9,554/mo",$0/mo,"$1,756/mo",$838/mo,"$1,838/mo",Not included
"505 W 43rd St # 3M, New York, NY 10036",https://www.zillow.com/homedetails/505-W-43rd-St-3M-New-York-NY-10036/2090138143_zpid/,"$1,695,000",Condo for sale,2 bds,2 ba,"1,042 sqft","$1,610,950",Condo,2019,No Data,No Data,No Data,"$1,119/month","$1,627",,"$9,717","$6,762/mo",$0/mo,"$1,243/mo",$593/mo,"$1,119/mo",Not included
"88 Washington Pl APT 3A, New York, NY 10011",https://www.zillow.com/homedetails/88-Washington-Pl-APT-3A-New-York-NY-10011/80009333_zpid/,"$3,600,000",Condo for sale,2 bds,2 ba,"1,645 sqft","$3,443,478",Condo,1966,No Data,Central,No Data,"$1,291/month","$2,188",Great solar potentialSun Number™: 89.42,"$19,552","$14,361/mo",$0/mo,"$2,640/mo","$1,260/mo","$1,291/mo",Not included
"50 E 89th St # 28C, New York, NY 10128",https://www.zillow.com/homedetails/50-E-89th-St-28C-New-York-NY-10128/219693795_zpid/,"$1,100,000",Co-op for sale,1 bd,2 ba,-- sqft,"$1,067,647",Cooperative,1973,No Data,No Data,No Data,No Data,,Great solar potentialSun Number™: 94.18,"$8,210","$4,388/mo",$0/mo,$807/mo,$385/mo,"$2,630/mo",Not included
"40 Broad St APT 23F, New York, NY 10004",https://www.zillow.com/homedetails/40-Broad-St-APT-23F-New-York-NY-10004/89228437_zpid/,"$975,000",Condo for sale,1 bd,2 ba,962 sqft,"$935,000",Condo,1982,No Data,No Data,No Data,"$1,215/month","$1,014",Limited solar potentialSun Number™: 49.06,"$6,161","$3,889/mo",$0/mo,$715/mo,$341/mo,"$1,215/mo",Not included
"624 W 207th St APT 44, New York, NY 10034",https://www.zillow.com/homedetails/624-W-207th-St-APT-44-New-York-NY-10034/244703340_zpid/,"$525,000",Co-op for sale,2 bds,1 ba,"18,520 sqft","$518,636",Cooperative,1916,No Data,No Data,No Data,$28,,Great solar potentialSun Number™: 88.58,"$3,559","$2,150/mo",$0/mo,$385/mo,$184/mo,$840/mo,Not included
"205 E 78th St APT 4T, New York, NY 10075",https://www.zillow.com/homedetails/205-E-78th-St-APT-4T-New-York-NY-10075/244733906_zpid/,"$725,000",Co-op for sale,1 bd,1 ba,"233,483 sqft","$719,521",Cooperative,1931,No Data,No Data,No Data,$3,,Great solar potentialSun Number™: 89.39,"$5,415","$2,812/mo",$0/mo,$532/mo,$254/mo,"$1,817/mo",Not included
"624 W 207th St APT 34, New York, NY 10034",https://www.zillow.com/homedetails/624-W-207th-St-APT-34-New-York-NY-10034/244782594_zpid/,"$550,000",Co-op for sale,2 bds,1 ba,"18,520 sqft","$543,333",Cooperative,1916,No Data,No Data,No Data,$30,,Great solar potentialSun Number™: 88.58,"$3,809","$2,253/mo",$0/mo,$403/mo,$193/mo,$960/mo,Not included
"5622 Fieldston Rd, Bronx, NY 10471",https://www.zillow.com/homedetails/5622-Fieldston-Rd-Bronx-NY-10471/29853189_zpid/,"$899,900",House for sale,3 bds,3 ba,"1,760 sqft","$879,902",Single Family,1950,No Data,Central,Attached Garage,"2,100 sqft",$511,Great solar potentialSun Number™: 86.22,"$4,518","$3,491/mo",$0/mo,$712/mo,$315/mo,$0/mo,Not included
"138 Kreischer St, Staten Island, NY 10309",https://www.zillow.com/homedetails/138-Kreischer-St-Staten-Island-NY-10309/32374100_zpid/,"$509,000",House for sale,3 bds,1 ba,"1,500 sqft","$494,861",Single Family,1910,Gas,Other,Carport,"4,281 sqft",$339,Great solar potentialSun Number™: 95.02,"$2,632","$2,085/mo",$0/mo,$369/mo,$178/mo,$0/mo,Not included
"310 Lexington Ave APT 3J, New York, NY 10016",https://www.zillow.com/homedetails/310-Lexington-Ave-APT-3J-New-York-NY-10016/72517733_zpid/,"$735,000",Co-op for sale,1 bd,1 ba,-- sqft,,Cooperative,1959,No Data,No Data,No Data,No Data,,Great solar potentialSun Number™: 74.19,"$5,190","$2,851/mo",$0/mo,$539/mo,$257/mo,"$1,543/mo",Not included
"10010 103rd Ave, Ozone Park, NY 11417",https://www.zillow.com/homedetails/10010-103rd-Ave-Ozone-Park-NY-11417/2092129871_zpid/,"$950,000",For sale by owner,6 bds,3 ba,-- sqft,,Apartment,No Data,No Data,No Data,Off street,No Data,,,"$4,787","$3,790/mo",$0/mo,$665/mo,$333/mo,$0/mo,Not included
"140-21 Burden Cres APT 502, Jamaica, NY 11435",https://www.zillow.com/homedetails/140-21-Burden-Cres-APT-502-Jamaica-NY-11435/245431166_zpid/,"$359,000",Co-op for sale,2 bds,1 ba,"1,100 sqft","$347,511",Cooperative,1952,Radiant,No Data,Attached Garage,$326,,Great solar potentialSun Number™: 83.8,"$1,847","$1,470/mo",$0/mo,$251/mo,$126/mo,$0/mo,Not included
"3475 Greystone Ave APT 5E, Bronx, NY 10463",https://www.zillow.com/homedetails/3475-Greystone-Ave-APT-5E-Bronx-NY-10463/244471048_zpid/,"$179,000",Co-op for sale,1 bd,1 ba,910 sqft,"$175,022",Cooperative,1957,Radiant,Wall,No Data,$197,,Great solar potentialSun Number™: 85.38,"$1,963",$747/mo,$0/mo,$142/mo,$63/mo,"$1,012/mo",Not included
"1064 Rockland Ave, Staten Island, NY 10314",https://www.zillow.com/homedetails/1064-Rockland-Ave-Staten-Island-NY-10314/32312399_zpid/,"$749,000",House for sale,4 bds,3 ba,"2,370 sqft","$724,239",Single Family,1984,Forced air,Central,Carport,"2,552 sqft",$316,Great solar potentialSun Number™: 84.62,"$3,711","$2,905/mo",$0/mo,$543/mo,$262/mo,$0/mo,Not included
"630 E 230th St, Bronx, NY 10466",https://www.zillow.com/homedetails/630-E-230th-St-Bronx-NY-10466/29831867_zpid/,"$799,000",Apartment for sale,6 bds,5 ba,"2,475 sqft","$752,107",Multi Family,1901,Other,No Data,Off street,$323,,Great solar potentialSun Number™: 95,"$4,012","$3,099/mo",$0/mo,$633/mo,$280/mo,$0/mo,Not included
"375 Morningstar Rd, Staten Island, NY 10303",https://www.zillow.com/homedetails/375-Morningstar-Rd-Staten-Island-NY-10303/32298365_zpid/,"$625,000",House for sale,3 bds,2 ba,"2,360 sqft","$595,735",Single Family,1970,Gas,No Data,"Carport, Detached Garage","8,171 sqft",$265,Great solar potentialSun Number™: 88.62,"$3,096","$2,424/mo",$0/mo,$453/mo,$219/mo,$0/mo,Not included
"676 Saint Marys St, Bronx, NY 10454",https://www.zillow.com/homedetails/676-Saint-Marys-St-Bronx-NY-10454/55540879_zpid/,"$749,000",Apartment for sale,5 bds,3 ba,"2,322 sqft",,Multi Family,1999,Forced air,No Data,No Data,$323,,Great solar potentialSun Number™: 89.38,"$3,761","$2,905/mo",$0/mo,$593/mo,$262/mo,$0/mo,Not included
"4218 Edson Ave, Bronx, NY 10466",https://www.zillow.com/homedetails/4218-Edson-Ave-Bronx-NY-10466/29837528_zpid/,"$765,000",Apartment for sale,9 bds,3 ba,"3,186 sqft",,Multi Family,1925,Baseboard,None,No Data,$240,,Great solar potentialSun Number™: 88.6,"$3,841","$2,967/mo",$0/mo,$606/mo,$268/mo,$0/mo,Not included
"10914 Hannibal St # SINGLE-FAM, Saint Albans, NY 11412",https://www.zillow.com/homedetails/10914-Hannibal-St-SINGLE-FAM-Saint-Albans-NY-11412/2082087540_zpid/,"$679,999",Condo for sale,4 bds,3 ba,-- sqft,,Condo,1950,No Data,No Data,No Data,No Data,No Data,Great solar potentialSun Number™: 91.01,"$3,352","$2,638/mo",$0/mo,$476/mo,$238/mo,$0/mo,Not included
"1205 E 96th St, Brooklyn, NY 11236",https://www.zillow.com/homedetails/1205-E-96th-St-Brooklyn-NY-11236/30774417_zpid/,"$1,100,000",House for sale,4 bds,2 ba,"1,648 sqft","$1,059,651",Single Family,1925,No Data,No Data,No Data,"6,788 sqft",$667,Candidate for a community solar programSun Number™: 23.05,"$5,369","$4,388/mo",$0/mo,$596/mo,$385/mo,$0/mo,Not included
"267 Colon Ave, Staten Island, NY 10308",https://www.zillow.com/homedetails/267-Colon-Ave-Staten-Island-NY-10308/32351467_zpid/,"$579,000",House for sale,3 bds,2 ba,"1,440 sqft","$560,875",Single Family,1978,No Data,Central,No Data,"2,327 sqft",$402,Great solar potentialSun Number™: 72.62,"$2,868","$2,246/mo",$0/mo,$420/mo,$203/mo,$0/mo,Not included
"13903 111th Ave, Jamaica, NY 11435",https://www.zillow.com/homedetails/13903-111th-Ave-Jamaica-NY-11435/32179364_zpid/,"$699,000",Apartment for sale,6 bds,3 ba,"2,024 sqft","$679,028",Multi Family,1960,No Data,No Data,5 spaces,$345,,Great solar potentialSun Number™: 86.19,"$3,445","$2,711/mo",$0/mo,$489/mo,$245/mo,$0/mo,Not included
"11 5th Ave # 16L, New York, NY 10003",https://www.zillow.com/homedetails/11-5th-Ave-16L-New-York-NY-10003/94639528_zpid/,"$2,875,000",Co-op for sale,2 bds,2 ba,-- sqft,"$2,766,268",Cooperative,1955,No Data,No Data,No Data,No Data,,Great solar potentialSun Number™: 92.58,"$17,835","$11,469/mo",$0/mo,"$2,108/mo","$1,006/mo","$3,252/mo",Not included
"221 W 21st St APT 5C, New York, NY 10011",https://www.zillow.com/homedetails/221-W-21st-St-APT-5C-New-York-NY-10011/244732716_zpid/,"$738,000",Co-op for sale,1 bd,1 ba,"10,015 sqft","$724,976",Cooperative,1920,No Data,No Data,No Data,$74,,Great solar potentialSun Number™: 94.99,"$4,962","$2,863/mo",$0/mo,$541/mo,$258/mo,"$1,300/mo",Not included
"30 E 95th St APT 2C, New York, NY 10128",https://www.zillow.com/homedetails/30-E-95th-St-APT-2C-New-York-NY-10128/244720712_zpid/,"$360,000",Co-op for sale,Studio,1 ba,"29,148 sqft","$355,736",Cooperative,1910,No Data,No Data,No Data,$12,,Great solar potentialSun Number™: 82.99,"$2,846","$1,475/mo",$0/mo,$264/mo,$126/mo,$981/mo,Not included
"161 Hudson St APT 5B, New York, NY 10013",https://www.zillow.com/homedetails/161-Hudson-St-APT-5B-New-York-NY-10013/65321208_zpid/,"$5,500,000",Condo for sale,3 bds,3 ba,"2,317 sqft","$5,227,396",Condo,1930,No Data,Central,No Data,"$1,634/month","$2,374",,"$29,532","$21,940/mo",$0/mo,"$4,033/mo","$1,925/mo","$1,634/mo",Not included
"268 E Broadway APT A401, New York, NY 10002",https://www.zillow.com/homedetails/268-E-Broadway-APT-A401-New-York-NY-10002/2082087541_zpid/,"$1,550,000",Co-op for sale,3 bds,2 ba,"1,275 sqft","$1,494,444",Cooperative,No Data,No Data,No Data,No Data,"$1,216",,,"$8,889","$6,183/mo",$0/mo,"$1,137/mo",$543/mo,"$1,027/mo",Not included
"116 Bowdoin St, Staten Island, NY 10314",https://www.zillow.com/homedetails/116-Bowdoin-St-Staten-Island-NY-10314/32313035_zpid/,"$869,999",House for sale,4 bds,3 ba,"2,376 sqft","$834,021",Single Family,1963,Forced air,Central,Attached Garage,"6,494 sqft",$366,Great solar potentialSun Number™: 91.02,"$4,310","$3,375/mo",$0/mo,$631/mo,$304/mo,$0/mo,Not included
"1731 Zerega Ave, Bronx, NY 10462",https://www.zillow.com/homedetails/1731-Zerega-Ave-Bronx-NY-10462/29811998_zpid/,"$299,000",Townhouse for sale,Studio,-- ba,"2,272 sqft",,Townhouse,1910,No Data,No Data,No Data,"2,500 sqft",$132,Great solar potentialSun Number™: 94.2,"$1,566","$1,225/mo",$0/mo,$237/mo,$105/mo,$0/mo,Not included
"14033 34th Ave, Flushing, NY 11354",https://www.zillow.com/homedetails/14033-34th-Ave-Flushing-NY-11354/32036976_zpid/,"$358,000",Co-op for sale,2 bds,1 ba,"1,050 sqft","$344,942",Cooperative,1965,Other,No Data,Attached Garage,$341,,Great solar potentialSun Number™: 92.6,"$1,842","$1,466/mo",$0/mo,$251/mo,$125/mo,$0/mo,Not included
"163 Detroit Ave, Staten Island, NY 10312",https://www.zillow.com/homedetails/163-Detroit-Ave-Staten-Island-NY-10312/2082088027_zpid/,"$969,999",House for sale,9 bds,7 ba,"2,485 sqft","$936,536",Single Family,No Data,Forced air,Central,"Carport, Detached Garage","3,998 sqft",$390,,"$4,912","$3,869/mo",$0/mo,$703/mo,$339/mo,$0/mo,Not included
"8710 149th Ave APT 3K, Jamaica, NY 11414",https://www.zillow.com/homedetails/8710-149th-Ave-APT-3K-Jamaica-NY-11414/32168302_zpid/,"$499,900",Condo for sale,3 bds,2 ba,"1,320 sqft","$490,378",Condo,1965,No Data,No Data,No Data,$812/month,$379,Great solar potentialSun Number™: 92.59,"$3,384","$2,048/mo",$0/mo,$350/mo,$175/mo,$812/mo,Not included
"682 Willoughby Ave # 4F, Brooklyn, NY 11206",https://www.zillow.com/homedetails/682-Willoughby-Ave-4F-Brooklyn-NY-11206/2082088103_zpid/,"$949,000",Condo for sale,2 bds,2 ba,965 sqft,"$949,001",Condo,2019,No Data,No Data,No Data,$530/month,$983,,"$5,162","$3,786/mo",$0/mo,$514/mo,$332/mo,$530/mo,Not included
"854 Amsterdam Ave # RETAIL, New York, NY 10025",https://www.zillow.com/homedetails/854-Amsterdam-Ave-RETAIL-New-York-NY-10025/2082212099_zpid/,"$150,000",Condo for sale,Studio,-- ba,-- sqft,,Condo,2000,No Data,No Data,No Data,No Data,No Data,Limited solar potentialSun Number™: 53.39,$788,$626/mo,$0/mo,$110/mo,$53/mo,$0/mo,Not included
"19629 49th Ave, Flushing, NY 11365",https://www.zillow.com/homedetails/19629-49th-Ave-Flushing-NY-11365/32052061_zpid/,"$948,000",House for sale,3 bds,2 ba,"1,218 sqft",,Single Family,1955,Other,No Data,1 space,"3,998 sqft",$778,Limited solar potentialSun Number™: 59.01,"$4,777","$3,782/mo",$0/mo,$664/mo,$332/mo,$0/mo,Not included
"3238 97th St, Flushing, NY 11369",https://www.zillow.com/homedetails/3238-97th-St-Flushing-NY-11369/31962562_zpid/,"$999,000",Apartment for sale,5 bds,3 ba,"1,536 sqft","$943,822",Multi Family,1920,No Data,No Data,Attached Garage,$650,,Candidate for a community solar programSun Number™: 23,"$5,034","$3,985/mo",$0/mo,$699/mo,$350/mo,$0/mo,Not included
"6914 Almeda Ave, Far Rockaway, NY 11692",https://www.zillow.com/homedetails/6914-Almeda-Ave-Far-Rockaway-NY-11692/32224953_zpid/,"$479,000",House for sale,4 bds,2 ba,"2,176 sqft","$468,030",Single Family,1920,No Data,No Data,No Data,"1,999 sqft",$220,Great solar potentialSun Number™: 81.44,"$2,465","$1,962/mo",$0/mo,$335/mo,$168/mo,$0/mo,Not included
"201 E 17th St APT 10B, New York, NY 10003",https://www.zillow.com/homedetails/201-E-17th-St-APT-10B-New-York-NY-10003/244721169_zpid/,"$1,635,000",Co-op for sale,2 bds,2 ba,"250,220 sqft","$1,601,575",Cooperative,1973,No Data,No Data,63 spaces,$7,,Great solar potentialSun Number™: 87.78,"$9,976","$6,522/mo",$0/mo,"$1,199/mo",$572/mo,"$1,683/mo",Not included
"321 E 71st St APT 3A, New York, NY 10021",https://www.zillow.com/homedetails/321-E-71st-St-APT-3A-New-York-NY-10021/244861351_zpid/,"$270,000",Co-op for sale,Studio,1 ba,"19,040 sqft","$263,193",Cooperative,1940,No Data,No Data,No Data,$14,,Great solar potentialSun Number™: 74.19,"$2,140","$1,106/mo",$0/mo,$198/mo,$95/mo,$742/mo,Not included
"3901 Independence Ave APT 3E, Bronx, NY 10463",https://www.zillow.com/homedetails/3901-Independence-Ave-APT-3E-Bronx-NY-10463/244429388_zpid/,"$359,000",Co-op for sale,2 bds,2 ba,"1,048 sqft","$351,022",Cooperative,1963,No Data,No Data,No Data,$343,,Great solar potentialSun Number™: 94.98,"$2,920","$1,470/mo",$0/mo,$284/mo,$126/mo,"$1,040/mo",Not included
"50 Mark St, Staten Island, NY 10304",https://www.zillow.com/homedetails/50-Mark-St-Staten-Island-NY-10304/2101431975_zpid/,"$1,250,000",House for sale,6 bds,5 ba,"3,883 sqft","$1,120,074",Single Family,2019,"Baseboard, Forced air",Central,4 spaces,"5,000 sqft",$322,,"$6,330","$4,986/mo",$0/mo,$906/mo,$438/mo,$0/mo,Not included
"100 Prospect Ave, Staten Island, NY 10301",https://www.zillow.com/homedetails/100-Prospect-Ave-Staten-Island-NY-10301/32272416_zpid/,"$449,000",For sale by owner,3 bds,2 ba,"1,240 sqft",,Single Family,1943,Forced air,No Data,No Data,"1,999 sqft",$362,Great solar potentialSun Number™: 95,"$2,322","$1,839/mo",$0/mo,$326/mo,$157/mo,$0/mo,Not included
"16337 95th St, Howard Beach, NY 11414",https://www.zillow.com/homedetails/16337-95th-St-Howard-Beach-NY-11414/32217841_zpid/,"$600,000",Foreclosure,3 bds,2 ba,"1,125 sqft","$544,530",Single Family,1950,Other,No Data,No Data,"3,998 sqft",$533,Great solar potentialSun Number™: 94.99,"$2,957","$2,327/mo",$0/mo,$420/mo,$210/mo,$0/mo,Not included
"19015 122nd Ave, Jamaica, NY 11413",https://www.zillow.com/homedetails/19015-122nd-Ave-Jamaica-NY-11413/32195063_zpid/,"$599,000",House for sale,3 bds,2 ba,"1,149 sqft","$588,998",Single Family,1925,No Data,No Data,Attached Garage,"6,403 sqft",$521,Great solar potentialSun Number™: 81.41,"$2,953","$2,324/mo",$0/mo,$419/mo,$210/mo,$0/mo,Not included
"8325 98th St APT 4M, Woodhaven, NY 11421",https://www.zillow.com/homedetails/8325-98th-St-APT-4M-Woodhaven-NY-11421/245451145_zpid/,"$269,000",Co-op for sale,2 bds,1 ba,"385,000 sqft","$263,851",Cooperative,1954,No Data,No Data,No Data,$1,,Great solar potentialSun Number™: 88.59,"$1,930","$1,102/mo",$0/mo,$188/mo,$94/mo,$546/mo,Not included
"1840 211th St APT 2E, Bayside, NY 11360",https://www.zillow.com/homedetails/1840-211th-St-APT-2E-Bayside-NY-11360/245421069_zpid/,"$255,000",Co-op for sale,1 bd,1 ba,"373,772 sqft",,Cooperative,1959,Other,No Data,185 spaces,$1,,Great solar potentialSun Number™: 76.61,"$1,312","$1,044/mo",$0/mo,$179/mo,$89/mo,$0/mo,Not included
"1047 50th St APT 1, Brooklyn, NY 11219",https://www.zillow.com/homedetails/1047-50th-St-APT-1-Brooklyn-NY-11219/2082088806_zpid/,"$4,200,000",Apartment for sale,24 bds,12 ba,-- sqft,,Multi Family,1931,No Data,No Data,No Data,No Data,,,"$20,499","$16,754/mo",$0/mo,"$2,275/mo","$1,470/mo",$0/mo,Not included
"400 E 54th St APT 25F, New York, NY 10022",https://www.zillow.com/homedetails/400-E-54th-St-APT-25F-New-York-NY-10022/63870463_zpid/,"$1,575,000",Condo for sale,2 bds,2 ba,"1,003 sqft",,Condo,1972,No Data,No Data,No Data,$844/month,"$1,570",Great solar potentialSun Number™: 94.99,"$8,833","$6,283/mo",$0/mo,"$1,155/mo",$551/mo,$844/mo,Not included
"24 5th Ave APT 708, New York, NY 10011",https://www.zillow.com/homedetails/24-5th-Ave-APT-708-New-York-NY-10011/72513377_zpid/,"$420,000",Co-op for sale,Studio,1 ba,350 sqft,"$407,704",Cooperative,1926,No Data,No Data,No Data,"$1,200",,Great solar potentialSun Number™: 94.99,"$3,257","$1,720/mo",$0/mo,$308/mo,$147/mo,"$1,082/mo",Not included
"3524 78th St APT B39, Jackson Heights, NY 11372",https://www.zillow.com/homedetails/3524-78th-St-APT-B39-Jackson-Heights-NY-11372/124115396_zpid/,"$539,000",Co-op for sale,1 bd,1 ba,975 sqft,"$527,751",Cooperative,1938,No Data,No Data,No Data,$553,,Great solar potentialSun Number™: 93.4,"$3,580","$2,208/mo",$0/mo,$377/mo,$189/mo,$806/mo,Not included
"288 Lexington Ave APT 4E, New York, NY 10016",https://www.zillow.com/homedetails/288-Lexington-Ave-APT-4E-New-York-NY-10016/244878253_zpid/,"$659,000",Co-op for sale,1 bd,1 ba,750 sqft,"$642,194",Cooperative,1955,No Data,No Data,No Data,$879,,Candidate for a community solar programSun Number™: 38.99,"$4,937","$2,556/mo",$0/mo,$483/mo,$231/mo,"$1,667/mo",Not included
"439 E 88th St # A, New York, NY 10128",https://www.zillow.com/homedetails/439-E-88th-St-A-New-York-NY-10128/72533251_zpid/,"$649,000",Co-op for sale,1 bd,1 ba,-- sqft,"$644,095",Cooperative,1915,No Data,No Data,No Data,No Data,,Candidate for a community solar programSun Number™: 22.99,"$4,173","$2,518/mo",$0/mo,$476/mo,$227/mo,$952/mo,Not included
"250 E 30th St APT 14D, New York, NY 10016",https://www.zillow.com/homedetails/250-E-30th-St-APT-14D-New-York-NY-10016/65316653_zpid/,"$1,295,000",Condo for sale,2 bds,2 ba,"1,487 sqft",,Condo,2001,Wall,Wall,Attached Garage,"$1,866/month",$871,Great solar potentialSun Number™: 89.39,"$8,435","$5,166/mo",$0/mo,$950/mo,$453/mo,"$1,866/mo",Not included
"400 E 54th St APT 25F, New York, NY 10022",https://www.zillow.com/homedetails/400-E-54th-St-APT-25F-New-York-NY-10022/63870463_zpid/,"$1,575,000",Condo for sale,2 bds,2 ba,"1,003 sqft",,Condo,1972,No Data,No Data,No Data,$844/month,"$1,570",Great solar potentialSun Number™: 94.99,"$8,833","$6,283/mo",$0/mo,"$1,155/mo",$551/mo,$844/mo,Not included
"1545 Unionport Rd APT 2A, Bronx, NY 10462",https://www.zillow.com/homedetails/1545-Unionport-Rd-APT-2A-Bronx-NY-10462/29802165_zpid/,"$175,000",For sale by owner,1 bd,1 ba,675 sqft,"$178,532",Condo,No Data,No Data,No Data,No Data,$600/month,$259,Great solar potentialSun Number™: 87.8,"$1,530",$730/mo,$0/mo,$139/mo,$61/mo,$600/mo,Not included
"49 Shirra Ave, Staten Island, NY 10314",https://www.zillow.com/homedetails/49-Shirra-Ave-Staten-Island-NY-10314/2121340134_zpid/,"$449,900",Townhouse for sale,2 bds,2 ba,"1,296 sqft","$437,148",Townhouse,1987,Forced air,Central,No Data,"1,176 sqft",$347,,"$2,326","$1,843/mo",$0/mo,$326/mo,$157/mo,$0/mo,Not included
"2785 Ocean Pkwy APT 6C, Brooklyn, NY 11235",https://www.zillow.com/homedetails/2785-Ocean-Pkwy-APT-6C-Brooklyn-NY-11235/245000732_zpid/,"$365,000",Co-op for sale,2 bds,1 ba,900 sqft,"$350,521",Cooperative,1964,No Data,No Data,No Data,$406,,Great solar potentialSun Number™: 95,"$2,804","$1,495/mo",$0/mo,$198/mo,$128/mo,$984/mo,Not included
"2909 Ocean Ave APT 6B, Brooklyn, NY 11235",https://www.zillow.com/homedetails/2909-Ocean-Ave-APT-6B-Brooklyn-NY-11235/83047315_zpid/,"$235,000",Co-op for sale,Studio,1 ba,500 sqft,"$226,705",Cooperative,1957,No Data,No Data,No Data,$470,,Great solar potentialSun Number™: 95,"$1,689",$980/mo,$0/mo,$127/mo,$82/mo,$499/mo,Not included
