Title,Title_link,list-card-price,list-card-type,Bedrooms,Bathrooms,list-card-details,Zestimate,Type,Year built,Heating,Cooling,Parking,HOA / Lot,Price / sqft,Sunscore,Monthly cost,Mortage insurance,Principal & interest,Property taxes,Home insurance,HOA fee,Utilities
"5015 Guilford Forest Dr SW, Atlanta, GA 30331",https://www.zillow.com/homedetails/5015-Guilford-Forest-Dr-SW-Atlanta-GA-30331/69375385_zpid/,"Est. $256,295",Pre-foreclosure / Auction,5 bds,4 ba,"4,376 sqft","$256,295",Single Family,2005,Forced air,Central,No Data,0.4 acres,,Great solar potentialSun Number™: 92.21,"$1,259",$0/mo,$941/mo,$229/mo,$90/mo,$0/mo,Not included
"2333 Tiger Flowers Dr NW, Atlanta, GA 30314",https://www.zillow.com/homedetails/2333-Tiger-Flowers-Dr-NW-Atlanta-GA-30314/35857296_zpid/,"$199,800",House for sale,4 bds,3 ba,"2,100 sqft","$195,950",Single Family,1949,Forced air,Central,2 spaces,"10,833 sqft",$95,Limited solar potentialSun Number™: 49.02,"$1,002",$0/mo,$754/mo,$178/mo,$70/mo,$0/mo,Not included
"1787 Westmoreland Ln NW, Atlanta, GA 30318",https://www.zillow.com/homedetails/1787-Westmoreland-Ln-NW-Atlanta-GA-30318/171603486_zpid/,"$430,000",House for sale,3 bds,3 ba,"2,480 sqft","$417,597",Single Family,2015,Forced air,Central,Detached Garage,"6,098 sqft",$173,Great solar potentialSun Number™: 92.22,"$2,220",$0/mo,"$1,578/mo",$383/mo,$151/mo,$108/mo,Not included
"2152 Main St NW, Atlanta, GA 30318",https://www.zillow.com/homedetails/2152-Main-St-NW-Atlanta-GA-30318/35923873_zpid/,"$275,000",House for sale,4 bds,2 ba,"1,472 sqft","$265,517",Single Family,1930,Forced air,Central,Off street,0.44 acres,$187,Candidate for a community solar programSun Number™: 20.21,"$1,351",$0/mo,"$1,009/mo",$245/mo,$96/mo,$0/mo,Not included
"567 Holderness St SW, Atlanta, GA 30310",https://www.zillow.com/homedetails/567-Holderness-St-SW-Atlanta-GA-30310/35842915_zpid/,"$199,000",House for sale,2 bds,1 ba,"1,222 sqft","$191,167",Single Family,1900,Forced air,Central,2 spaces,0.34 acres,$163,Great solar potentialSun Number™: 79.42,$998,$0/mo,$751/mo,$177/mo,$70/mo,$0/mo,Not included
"2788 Bluestone Dr SW, Atlanta, GA 30331",https://www.zillow.com/homedetails/2788-Bluestone-Dr-SW-Atlanta-GA-30331/171498672_zpid/,"$320,000",House for sale,6 bds,4 ba,"4,212 sqft","$315,270",Single Family,2016,Forced air,No Data,Attached Garage,"10,323 sqft",$76,Good solar potentialSun Number™: 63.43,"$1,609",$0/mo,"$1,175/mo",$285/mo,$112/mo,$37/mo,Not included
"2947 Oldknow Dr NW, Atlanta, GA 30318",https://www.zillow.com/homedetails/2947-Oldknow-Dr-NW-Atlanta-GA-30318/35864914_zpid/,"$289,000",House for sale,4 bds,4 ba,"3,952 sqft","$274,646",Single Family,1965,Forced air,Central,2 spaces,0.97 acres,$73,Good solar potentialSun Number™: 64.22,"$1,420",$0/mo,"$1,061/mo",$258/mo,$101/mo,$0/mo,Not included
"201 Cottsford Dr SW, Atlanta, GA 30331",https://www.zillow.com/homedetails/201-Cottsford-Dr-SW-Atlanta-GA-30331/65462213_zpid/,"$194,000",Condo for sale,3 bds,2 ba,"1,451 sqft","$189,674",Condo,2001,Forced air,Central,Attached Garage,$260/month,$134,Good solar potentialSun Number™: 67.41,"$1,233",$0/mo,$732/mo,$173/mo,$68/mo,$260/mo,Not included
"1470 S Gordon St SW, Atlanta, GA 30310",https://www.zillow.com/homedetails/1470-S-Gordon-St-SW-Atlanta-GA-30310/2082103166_zpid/,"$419,000",House for sale,3 bds,3 ba,"1,845 sqft",,Single Family,1920,Forced air,Central,Detached Garage,"8,712 sqft",$227,,"$2,058",$0/mo,"$1,538/mo",$374/mo,$147/mo,$0/mo,Not included
"1816 N Ave Nw, Atlanta, GA 30318",https://www.zillow.com/homedetails/1816-N-Ave-Nw-Atlanta-GA-30318/35855788_zpid/,"$289,900",House for sale,3 bds,2 ba,"1,480 sqft","$279,913",Single Family,1938,Forced air,Central,4 spaces,0.31 acres,$196,,"$1,424",$0/mo,"$1,064/mo",$258/mo,$101/mo,$0/mo,Not included
"86 Morris Brown Dr SW, Atlanta, GA 30314",https://www.zillow.com/homedetails/86-Morris-Brown-Dr-SW-Atlanta-GA-30314/35834575_zpid/,"$375,000",House for sale,5 bds,5 ba,"3,805 sqft","$365,566",Single Family,1954,Forced air,Central,3 spaces,"8,929 sqft",$99,Great solar potentialSun Number™: 86.62,"$1,842",$0/mo,"$1,376/mo",$334/mo,$131/mo,$0/mo,Not included
"747 Emily Pl NW, Atlanta, GA 30318",https://www.zillow.com/homedetails/747-Emily-Pl-NW-Atlanta-GA-30318/35856513_zpid/,"$289,000",House for sale,4 bds,2 ba,"1,500 sqft","$282,555",Single Family,2007,Forced air,Central,4 spaces,0.26 acres,$193,Great solar potentialSun Number™: 92.22,"$1,420",$0/mo,"$1,061/mo",$258/mo,$101/mo,$0/mo,Not included
"4896 Campbellton Rd SW, Atlanta, GA 30331",https://www.zillow.com/homedetails/4896-Campbellton-Rd-SW-Atlanta-GA-30331/35888574_zpid/,"$80,000",House for sale,3 bds,2 ba,"1,377 sqft",,Single Family,1957,Other,Other,No Data,2.41 acres,$58,Candidate for a community solar programSun Number™: 20.21,$427,$0/mo,$328/mo,$71/mo,$28/mo,$0/mo,Not included
"2503 Wyncreek Dr SW, Atlanta, GA 30331",https://www.zillow.com/homedetails/2503-Wyncreek-Dr-SW-Atlanta-GA-30331/69369062_zpid/,"Est. $298,365",Pre-foreclosure / Auction,6 bds,5 ba,"4,210 sqft","$298,365",Single Family,2004,Forced air,Central,2 spaces,0.29 acres,,Great solar potentialSun Number™: 92.23,"$1,466",$0/mo,"$1,095/mo",$266/mo,$104/mo,$0/mo,Not included
"1834 Marietta Rd NW, Atlanta, GA 30318",https://www.zillow.com/homedetails/1834-Marietta-Rd-NW-Atlanta-GA-30318/35920921_zpid/,"$349,900",House for sale,4 bds,4 ba,"2,277 sqft","$335,762",Single Family,1920,Forced air,Central,3 spaces,"9,173 sqft",$154,Great solar potentialSun Number™: 70.61,"$1,719",$0/mo,"$1,284/mo",$312/mo,$122/mo,$0/mo,Not included
"501 Dargan Pl SW, Atlanta, GA 30310",https://www.zillow.com/homedetails/501-Dargan-Pl-SW-Atlanta-GA-30310/35835251_zpid/,"Est. $178,774",Pre-foreclosure / Auction,3 bds,2 ba,"1,570 sqft","$178,774",Single Family,1920,"Forced air, Other",Central,3 spaces,"6,303 sqft",,Limited solar potentialSun Number™: 58.62,$896,$0/mo,$674/mo,$159/mo,$63/mo,$0/mo,Not included
"2182 Cascade Rd SW, Atlanta, GA 30311",https://www.zillow.com/homedetails/2182-Cascade-Rd-SW-Atlanta-GA-30311/35858577_zpid/,"$187,500",House for sale,3 bds,1 ba,"1,763 sqft","$183,895",Single Family,1925,Other,Central,3 spaces,"10,018 sqft",$106,Candidate for a community solar programSun Number™: 20.22,$940,$0/mo,$707/mo,$167/mo,$66/mo,$0/mo,Not included
"Cali Plan, Hampshire Park",https://www.zillow.com/community/hampshire-park/2082898952_zpid/,"$204,100+",New construction,4 bds,2 ba,"1,774 sqft","$197,896",Single Family,2019,No Data,No Data,2 spaces,No Data,$115,,"$1,023",,,,,,
"706 S Grand Ave NW, Atlanta, GA 30318",https://www.zillow.com/homedetails/706-S-Grand-Ave-NW-Atlanta-GA-30318/35856747_zpid/,"$150,000",House for sale,3 bds,2 ba,"1,317 sqft","$145,414",Single Family,1920,Forced air,Central,"Carport, Detached Garage","7,753 sqft",$114,Candidate for a community solar programSun Number™: 37.82,$752,$0/mo,$566/mo,$134/mo,$53/mo,$0/mo,Not included
"3160 Welmingham Dr SW # 264, Atlanta, GA 30331",https://www.zillow.com/homedetails/3160-Welmingham-Dr-SW-264-Atlanta-GA-30331/2082121452_zpid/,"$188,000",House for sale,3 bds,3 ba,"1,376 sqft","$181,037",Single Family,2005,Forced air,Central,No Data,No Data,$137,,$992,$0/mo,$709/mo,$168/mo,$66/mo,$50/mo,Not included
"Ashley Plan, Summit At Stonewall Tell",https://www.zillow.com/community/summit-at-stonewall-tell/2085277706_zpid/,"$334,990+",New construction,4 bds,3 ba,"3,138 sqft","$321,426",Single Family,2019,No Data,No Data,2 spaces,No Data,$107,Great solar potentialSun Number™: 92.23,"$1,646",,,,,,
"Bellview Plan, Summit At Stonewall Tell",https://www.zillow.com/community/summit-at-stonewall-tell/2085277702_zpid/,"$315,990+",New construction,4 bds,3 ba,"3,236 sqft","$303,523",Single Family,2019,No Data,No Data,2 spaces,No Data,$98,Great solar potentialSun Number™: 92.23,"$1,552",,,,,,
"2393 Baker Rd NW, Atlanta, GA 30318",https://www.zillow.com/homedetails/2393-Baker-Rd-NW-Atlanta-GA-30318/35856946_zpid/,"$89,900",House for sale,3 bds,2 ba,725 sqft,"$74,988",Single Family,1945,Other,Other,Detached Garage,"8,276 sqft",$124,Good solar potentialSun Number™: 69.02,$480,$0/mo,$369/mo,$80/mo,$31/mo,$0/mo,Not included
"887 Proctor Oaks St NW, Atlanta, GA 30318",https://www.zillow.com/homedetails/887-Proctor-Oaks-St-NW-Atlanta-GA-30318/283676895_zpid/,"$415,000",Townhouse for sale,4 bds,4 ba,"2,492 sqft","$408,491",Townhouse,2017,Forced air,Central,4 spaces,"3,920 sqft",$167,,"$2,239",$0/mo,"$1,523/mo",$370/mo,$145/mo,$200/mo,Not included
"1905 Whittier Ave NW, Atlanta, GA 30318",https://www.zillow.com/homedetails/1905-Whittier-Ave-NW-Atlanta-GA-30318/35924087_zpid/,"$330,000",House for sale,2 bds,2 ba,"1,192 sqft","$321,242",Single Family,1904,Gas,Central,2 spaces,"5,532 sqft",$277,Good solar potentialSun Number™: 66.61,"$1,621",$0/mo,"$1,211/mo",$294/mo,$116/mo,$0/mo,Not included
"1290 1290 Graymont Dr, Atlanta, GA 30310",https://www.zillow.com/homedetails/1290-1290-Graymont-Dr-Atlanta-GA-30310/2082147830_zpid/,"$130,000",House for sale,3 bds,2 ba,"1,050 sqft","$127,327",Single Family,1950,Forced air,No Data,No Data,"5,662 sqft",$124,Candidate for a community solar programSun Number™: 20.22,$652,$0/mo,$490/mo,$116/mo,$46/mo,$0/mo,Not included
"1321 Lorenzo Dr SW, Atlanta, GA 30310",https://www.zillow.com/homedetails/1321-Lorenzo-Dr-SW-Atlanta-GA-30310/35840874_zpid/,"$229,900",House for sale,5 bds,2 ba,"2,192 sqft","$221,385",Single Family,1949,Forced air,Central,2 spaces,0.32 acres,$105,Great solar potentialSun Number™: 80.22,"$1,153",$0/mo,$867/mo,$205/mo,$80/mo,$0/mo,Not included
"338 Dargan Pl SW, Atlanta, GA 30310",https://www.zillow.com/homedetails/338-Dargan-Pl-SW-Atlanta-GA-30310/35835150_zpid/,"$25,000",For sale by owner,4 bds,3 ba,"1,400 sqft",,Single Family,1935,Forced air,Central,No Data,"5,135 sqft",$18,Candidate for a community solar programSun Number™: 20.22,$134,$0/mo,$103/mo,$22/mo,$9/mo,$0/mo,Not included
"38 Belmonte Cir SW, Atlanta, GA 30311",https://www.zillow.com/homedetails/38-Belmonte-Cir-SW-Atlanta-GA-30311/35848598_zpid/,"$75,000",Condo for sale,2 bds,3 ba,"2,045 sqft",,Condo,1986,Forced air,Central,No Data,$23/month,$37,Great solar potentialSun Number™: 79.42,$424,$0/mo,$308/mo,$67/mo,$26/mo,$23/mo,Not included
"3374 Collier Dr NW, Atlanta, GA 30331",https://www.zillow.com/homedetails/3374-Collier-Dr-NW-Atlanta-GA-30331/35872380_zpid/,"$77,000",For sale by owner,3 bds,2 ba,"1,126 sqft",,Single Family,1968,Forced air,Central,No Data,"10,498 sqft",$68,Good solar potentialSun Number™: 65.02,$411,$0/mo,$316/mo,$69/mo,$27/mo,$0/mo,Not included
"1290 N Morningside Dr NE, Atlanta, GA 30306",https://www.zillow.com/homedetails/1290-N-Morningside-Dr-NE-Atlanta-GA-30306/2082096205_zpid/,"$749,000",House for sale,2 bds,2 ba,"1,569 sqft","$735,319",Single Family,1925,Forced air,Central,Detached Garage,"8,015 sqft",$477,Limited solar potentialSun Number™: 55.43,"$3,847",$0/mo,"$2,917/mo",$668/mo,$262/mo,$0/mo,Not included
"385 Lindbergh Dr NE, Atlanta, GA 30305",https://www.zillow.com/homedetails/385-Lindbergh-Dr-NE-Atlanta-GA-30305/35932567_zpid/,"$369,900",House for sale,3 bds,2 ba,"1,474 sqft",,Single Family,1957,Forced air,Central,No Data,0.3 acres,$251,Candidate for a community solar programSun Number™: 20.21,"$1,817",$0/mo,"$1,358/mo",$330/mo,$129/mo,$0/mo,Not included
"2987 Northside Dr NW, Atlanta, GA 30305",https://www.zillow.com/homedetails/2987-Northside-Dr-NW-Atlanta-GA-30305/69381492_zpid/,"$1,200,000",House for sale,3 bds,4 ba,"2,736 sqft",,Single Family,2004,"Forced air, Radiant",Central,2 spaces,0.54 acres,$439,Great solar potentialSun Number™: 73.01,"$6,164",$0/mo,"$4,674/mo","$1,070/mo",$420/mo,$0/mo,Not included
"634 Delmar Ave SE, Atlanta, GA 30312",https://www.zillow.com/homedetails/634-Delmar-Ave-SE-Atlanta-GA-30312/35867716_zpid/,"$765,000",House for sale,5 bds,3 ba,"3,108 sqft","$750,665",Single Family,1920,Forced air,Central,No Data,"8,102 sqft",$246,Great solar potentialSun Number™: 80.23,"$3,929",$0/mo,"$2,980/mo",$682/mo,$268/mo,$0/mo,Not included
"563 Angier Ave NE, Atlanta, GA 30308",https://www.zillow.com/homedetails/563-Angier-Ave-NE-Atlanta-GA-30308/82628581_zpid/,"$649,900",Coming soon,4 bds,3 ba,"2,412 sqft","$640,607",Single Family,1920,Forced air,Central,2 spaces,"3,607 sqft",$269,Great solar potentialSun Number™: 90.63,"$3,338",$0/mo,"$2,531/mo",$579/mo,$227/mo,$0/mo,Not included
"620 Peachtree St NE APT 1204, Atlanta, GA 30308",https://www.zillow.com/homedetails/620-Peachtree-St-NE-APT-1204-Atlanta-GA-30308/55016630_zpid/,"$289,900",Condo for sale,3 bds,2 ba,"1,344 sqft","$286,407",Condo,1965,Forced air,Central,2 spaces,$860/month,$216,,"$2,284",$0/mo,"$1,064/mo",$258/mo,$101/mo,$860/mo,Not included
"226 Lampkin St NE, Atlanta, GA 30312",https://www.zillow.com/homedetails/226-Lampkin-St-NE-Atlanta-GA-30312/35860136_zpid/,"$689,000",House for sale,3 bds,3 ba,"1,823 sqft","$670,716",Single Family,2005,Forced air,Central,3 spaces,"4,356 sqft",$378,Great solar potentialSun Number™: 92.23,"$3,539",$0/mo,"$2,684/mo",$614/mo,$241/mo,$0/mo,Not included
"943 Peachtree St NE UNIT 1215, Atlanta, GA 30309",https://www.zillow.com/homedetails/943-Peachtree-St-NE-UNIT-1215-Atlanta-GA-30309/65468848_zpid/,"$277,900",Condo for sale,1 bd,1 ba,768 sqft,"$273,359",Condo,2002,Forced air,Central,Attached Garage,$358/month,$362,,"$1,723",$0/mo,"$1,020/mo",$248/mo,$97/mo,$358/mo,Not included
"75 14th St NE UNIT 4840, Atlanta, GA 30309",https://www.zillow.com/homedetails/75-14th-St-NE-UNIT-4840-Atlanta-GA-30309/35899414_zpid/,"$1,695,000",Condo for sale,3 bds,4 ba,"2,773 sqft","$1,636,802",Condo,1992,Forced air,Central,Attached Garage,$130/month,$611,,"$8,836",$0/mo,"$6,602/mo","$1,511/mo",$593/mo,$130/mo,Not included
"247 Stovall St SE, Atlanta, GA 30316",https://www.zillow.com/homedetails/247-Stovall-St-SE-Atlanta-GA-30316/35839196_zpid/,"$450,000",House for sale,3 bds,2 ba,"1,200 sqft","$442,592",Single Family,1925,"Baseboard, Forced air",Central,2 spaces,"5,000 sqft",$375,Great solar potentialSun Number™: 92.23,"$2,210",$0/mo,"$1,652/mo",$401/mo,$158/mo,$0/mo,Not included
"311 Peachtree Hills Ave NE APT 15C, Atlanta, GA 30305",https://www.zillow.com/homedetails/311-Peachtree-Hills-Ave-NE-APT-15C-Atlanta-GA-30305/65467110_zpid/,"$199,900",Condo for sale,2 bds,1 ba,"1,020 sqft","$196,057",Condo,1960,Forced air,Central,2 spaces,$350/month,$196,,"$1,368",$0/mo,$769/mo,$178/mo,$70/mo,$350/mo,Not included
"857 Mcwilliams Rd SE, Atlanta, GA 30315",https://www.zillow.com/homedetails/857-Mcwilliams-Rd-SE-Atlanta-GA-30315/35874743_zpid/,"$125,000",House for sale,4 bds,2 ba,"2,108 sqft","$118,871",Single Family,1945,Forced air,None,Carport,0.58 acres,$59,Candidate for a community solar programSun Number™: 20.22,$669,$0/mo,$514/mo,$111/mo,$44/mo,$0/mo,Not included
"3003 Rivermeade Dr NW, Atlanta, GA 30327",https://www.zillow.com/homedetails/3003-Rivermeade-Dr-NW-Atlanta-GA-30327/35922278_zpid/,"$1,050,000",House for sale,4 bds,5 ba,"5,315 sqft","$1,005,747",Single Family,1968,Forced air,Central,Attached Garage,1 acre,$198,Great solar potentialSun Number™: 92.21,"$5,452",$0/mo,"$4,098/mo",$936/mo,$368/mo,$50/mo,Not included
"439 Blackland Rd NW, Atlanta, GA 30342",https://www.zillow.com/homedetails/439-Blackland-Rd-NW-Atlanta-GA-30342/35907209_zpid/,"$9,750,000",House for sale,6 bds,12 ba,"15,198 sqft",,Single Family,2010,Forced air,Central,4 spaces,1.91 acres,$642,Great solar potentialSun Number™: 92.21,"$50,163",$0/mo,"$38,057/mo","$8,694/mo","$3,413/mo",$0/mo,Not included
"676 Park Village Dr NE, Atlanta, GA 30306",https://www.zillow.com/homedetails/676-Park-Village-Dr-NE-Atlanta-GA-30306/35851231_zpid/,"$349,900",Townhouse for sale,2 bds,2 ba,"1,024 sqft","$340,008",Townhouse,1987,Forced air,Central,2 spaces,"1,023 sqft",$342,Great solar potentialSun Number™: 73.03,"$1,969",$0/mo,"$1,284/mo",$312/mo,$122/mo,$250/mo,Not included
"1022 Mayson Turner Rd NW, Atlanta, GA 30314",https://www.zillow.com/homedetails/1022-Mayson-Turner-Rd-NW-Atlanta-GA-30314/35834182_zpid/,"Est. $55,535",Pre-foreclosure / Auction,5 bds,3 ba,"3,400 sqft","$55,535",Single Family,1928,"Forced air, Heat pump",Central,No Data,"5,619 sqft",,Limited solar potentialSun Number™: 41.02,$297,$0/mo,$228/mo,$50/mo,$19/mo,$0/mo,Not included
"1185 Mount Paran Rd NW, Atlanta, GA 30327",https://www.zillow.com/homedetails/1185-Mount-Paran-Rd-NW-Atlanta-GA-30327/35913763_zpid/,"$3,795,000",House for sale,6 bds,9 ba,"13,500 sqft","$3,496,271",Single Family,2012,Forced air,Central,3 spaces,1.33 acres,$281,Great solar potentialSun Number™: 91.41,"$19,525",$0/mo,"$14,813/mo","$3,384/mo","$1,328/mo",$0/mo,Not included
"955 Juniper St NE UNIT 3125, Atlanta, GA 30309",https://www.zillow.com/homedetails/955-Juniper-St-NE-UNIT-3125-Atlanta-GA-30309/65469284_zpid/,"$275,000",Condo for sale,2 bds,1 ba,"1,031 sqft","$269,020",Condo,1996,"Forced air, Heat pump",Central,2 spaces,$310/month,$267,,"$1,661",$0/mo,"$1,009/mo",$245/mo,$96/mo,$310/mo,Not included
"4076 Glen Devon Dr NW, Atlanta, GA 30327",https://www.zillow.com/homedetails/4076-Glen-Devon-Dr-NW-Atlanta-GA-30327/35913828_zpid/,"$3,680,000",House for sale,7 bds,12 ba,"11,895 sqft",,Single Family,2005,Forced air,Central,Attached Garage,1.01 acres,$309,Great solar potentialSun Number™: 92.21,"$18,933",$0/mo,"$14,364/mo","$3,281/mo","$1,288/mo",$0/mo,Not included
"15 Gould St SE, Atlanta, GA 30315",https://www.zillow.com/homedetails/15-Gould-St-SE-Atlanta-GA-30315/35876531_zpid/,"$99,000",For sale by owner,5 bds,2 ba,"1,492 sqft",,Multi Family,1920,Other,Other,Off street,$66,,Great solar potentialSun Number™: 86.63,$530,$0/mo,$407/mo,$88/mo,$35/mo,$0/mo,Not included
"360 Joseph E Lowery Blvd NW, Atlanta, GA 30314",https://www.zillow.com/homedetails/360-Joseph-E-Lowery-Blvd-NW-Atlanta-GA-30314/69343405_zpid/,"$267,400",House for sale,3 bds,3 ba,"1,584 sqft","$266,393",Single Family,1930,Forced air,Central,Off street,"3,920 sqft",$169,Good solar potentialSun Number™: 65.02,"$1,314",$0/mo,$981/mo,$238/mo,$94/mo,$0/mo,Not included
"1823 Monroe Dr NE, Atlanta, GA 30324",https://www.zillow.com/homedetails/1823-Monroe-Dr-NE-Atlanta-GA-30324/35931895_zpid/,"$569,900",House for sale,3 bds,4 ba,"2,033 sqft","$555,472",Single Family,1987,"Forced air, Heat pump",Central,2 spaces,"3,484 sqft",$280,Great solar potentialSun Number™: 76.21,"$2,802",$0/mo,"$2,094/mo",$508/mo,$199/mo,$0/mo,Not included
"406 E Side Ave SE, Atlanta, GA 30316",https://www.zillow.com/homedetails/406-E-Side-Ave-SE-Atlanta-GA-30316/14456893_zpid/,"$650,000",House for sale,5 bds,4 ba,"2,943 sqft","$625,944",Single Family,2018,Forced air,Central,4 spaces,"4,356 sqft",$221,Limited solar potentialSun Number™: 53.83,"$3,366",$0/mo,"$2,537/mo",$601/mo,$228/mo,$0/mo,Not included
"855-B Saint Charles Ave NE, Atlanta, GA 30306",https://www.zillow.com/homedetails/855-B-Saint-Charles-Ave-NE-Atlanta-GA-30306/2082184333_zpid/,"$799,900",House for sale,4 bds,4 ba,"2,688 sqft",,Single Family,2000,Forced air,Central,Attached Garage,"5,662 sqft",$298,,"$4,115",$0/mo,"$3,122/mo",$713/mo,$280/mo,$0/mo,Not included
"1970 Thomasville Dr SE, Atlanta, GA 30315",https://www.zillow.com/homedetails/1970-Thomasville-Dr-SE-Atlanta-GA-30315/35887536_zpid/,"$27,000",House for sale,3 bds,1 ba,977 sqft,,Single Family,1966,Other,None,2 spaces,0.34 acres,$28,Great solar potentialSun Number™: 86.62,$145,$0/mo,$111/mo,$24/mo,$9/mo,$0/mo,Not included
"165 Sunset Ave NW, Atlanta, GA 30314",https://www.zillow.com/homedetails/165-Sunset-Ave-NW-Atlanta-GA-30314/35832226_zpid/,"$275,000",House for sale,3 bds,2 ba,"2,357 sqft","$266,462",Single Family,1920,Forced air,Central,2 spaces,"6,298 sqft",$117,Great solar potentialSun Number™: 91.42,"$1,351",$0/mo,"$1,009/mo",$245/mo,$96/mo,$0/mo,Not included
"895 W Paces Ferry Rd NW, Atlanta, GA 30327",https://www.zillow.com/homedetails/895-W-Paces-Ferry-Rd-NW-Atlanta-GA-30327/35911457_zpid/,"$5,650,000",House for sale,8 bds,11 ba,"16,344 sqft",,Single Family,2007,Forced air,Central,Attached Garage,1.09 acres,$346,Great solar potentialSun Number™: 92.21,"$29,069",$0/mo,"$22,053/mo","$5,038/mo","$1,978/mo",$0/mo,Not included
"1198 Milmar Dr NW, Atlanta, GA 30327",https://www.zillow.com/homedetails/1198-Milmar-Dr-NW-Atlanta-GA-30327/35914787_zpid/,"$675,000",House for sale,3 bds,2 ba,"1,734 sqft","$643,854",Single Family,1960,Forced air,Central,2 spaces,0.76 acres,$389,Candidate for a community solar programSun Number™: 20.21,"$3,473",$0/mo,"$2,635/mo",$602/mo,$236/mo,$0/mo,Not included
"4220 Harris Trl NW, Atlanta, GA 30327",https://www.zillow.com/homedetails/4220-Harris-Trl-NW-Atlanta-GA-30327/35919033_zpid/,"$4,500,000",House for sale,6 bds,10 ba,"8,800 sqft","$4,328,242",Single Family,2019,"Forced air, Heat pump",Central,5 spaces,1.03 acres,$511,Candidate for a community solar programSun Number™: 20.21,"$23,152",$0/mo,"$17,565/mo","$4,013/mo","$1,575/mo",$0/mo,Not included
"86 Morris Brown Dr SW, Atlanta, GA 30314",https://www.zillow.com/homedetails/86-Morris-Brown-Dr-SW-Atlanta-GA-30314/35834575_zpid/,"$375,000",House for sale,5 bds,5 ba,"3,805 sqft","$365,566",Single Family,1954,Forced air,Central,3 spaces,"8,929 sqft",$99,Great solar potentialSun Number™: 86.62,"$1,842",$0/mo,"$1,376/mo",$334/mo,$131/mo,$0/mo,Not included
"110 Bowen Cir SW, Atlanta, GA 30315",https://www.zillow.com/homedetails/110-Bowen-Cir-SW-Atlanta-GA-30315/65462449_zpid/,"$234,900",House for sale,3 bds,3 ba,"1,320 sqft","$242,226",Single Family,2000,Forced air,Central,No Data,"8,712 sqft",$178,Good solar potentialSun Number™: 69.83,"$1,237",$0/mo,$904/mo,$209/mo,$82/mo,$41/mo,Not included
"728 Garibaldi St SW, Atlanta, GA 30310",https://www.zillow.com/homedetails/728-Garibaldi-St-SW-Atlanta-GA-30310/35890226_zpid/,"$500,000",House for sale,4 bds,3 ba,"2,600 sqft","$474,813",Single Family,2006,Forced air,Central,Detached Garage,9 acres,$192,Great solar potentialSun Number™: 92.23,"$2,456",$0/mo,"$1,835/mo",$446/mo,$175/mo,$0/mo,Not included
"747 Emily Pl NW, Atlanta, GA 30318",https://www.zillow.com/homedetails/747-Emily-Pl-NW-Atlanta-GA-30318/35856513_zpid/,"$289,000",House for sale,4 bds,2 ba,"1,500 sqft","$282,555",Single Family,2007,Forced air,Central,4 spaces,0.26 acres,$193,Great solar potentialSun Number™: 92.22,"$1,420",$0/mo,"$1,061/mo",$258/mo,$101/mo,$0/mo,Not included
"4896 Campbellton Rd SW, Atlanta, GA 30331",https://www.zillow.com/homedetails/4896-Campbellton-Rd-SW-Atlanta-GA-30331/35888574_zpid/,"$80,000",House for sale,3 bds,2 ba,"1,377 sqft",,Single Family,1957,Other,Other,No Data,2.41 acres,$58,Candidate for a community solar programSun Number™: 20.21,$428,$0/mo,$329/mo,$71/mo,$28/mo,$0/mo,Not included
"621 Moreland Ave SE, Atlanta, GA",https://www.zillow.com/homedetails/621-Moreland-Ave-SE-Atlanta-GA-30316/59934151_zpid/,"$574,900",New construction,4 bds,3 ba,"2,548 sqft","$554,367",Single Family,2019,Forced air,Central,Detached Garage,"7,492 sqft",$226,Good solar potentialSun Number™: 66.63,"$2,846",$0/mo,"$2,113/mo",$532/mo,$201/mo,$0/mo,Not included
"708 E Paces Ferry Rd NE, Atlanta, GA 30305",https://www.zillow.com/homedetails/708-E-Paces-Ferry-Rd-NE-Atlanta-GA-30305/35928621_zpid/,"$1,195,000",House for sale,5 bds,3 ba,"3,176 sqft","$1,148,287",Single Family,1930,Forced air,Central,3 spaces,0.5 acres,$376,Great solar potentialSun Number™: 73.81,"$6,164",$0/mo,"$4,664/mo","$1,066/mo",$418/mo,$16/mo,Not included
