Address,Title_link,Sale price,list-card-type,Area,Bedrooms,Bathrooms,Zestimate,Type,Year built,Heating,Cooling,Parking,HOA / Lot,Price / sqft,Green energy,Monthly cost,Principal & interest,Mortage insurance,Property taxes,Home insurance,HOA Fees,Utilities
"87 Bartlett St # 1, Boston, MA 02129",https://www.zillow.com/homedetails/87-Bartlett-St-1-Boston-MA-02129/120938256_zpid/,"$639,000",Condo for sale,"1,154 sqft",1 bd,2 ba,"$621,714",Condo,1870,Forced air,Central,No Data,$250/month,$554,Great solar potentialSun Number™: 93.2,"$3,285","$2,364/mo",$0/mo,$447/mo,$224/mo,$250/mo,Not included
"56 Sturbridge St, Boston, MA 02126",https://www.zillow.com/homedetails/56-Sturbridge-St-Boston-MA-02126/59138728_zpid/,"$389,900",House for sale,"1,190 sqft",3 bds,2 ba,"$385,418",Single Family,1910,Baseboard,Other,No Data,"6,098 sqft",$328,Great solar potentialSun Number™: 95.02,"$1,850","$1,440/mo",$0/mo,$273/mo,$136/mo,$0/mo,Not included
"3 Louders Ln, Boston, MA 02130",https://www.zillow.com/homedetails/3-Louders-Ln-Boston-MA-02130/59135238_zpid/,"$845,000",House for sale,"1,715 sqft",4 bds,2 ba,"$861,857",Single Family,1965,Baseboard,None,1 space,"6,534 sqft",$493,Candidate for a community solar programSun Number™: 22.38,"$4,014","$3,126/mo",$0/mo,$592/mo,$296/mo,$0/mo,Not included
"306 Commonwealth Ave APT 5, Boston, MA 02115",https://www.zillow.com/homedetails/306-Commonwealth-Ave-APT-5-Boston-MA-02115/59177069_zpid/,"$1,425,000",Condo for sale,"1,088 sqft",2 bds,2 ba,"$1,412,389",Condo,1886,Forced air,Central,1 space,$612/month,"$1,310",Great solar potentialSun Number™: 92.78,"$7,670","$5,562/mo",$0/mo,$998/mo,$499/mo,$612/mo,Not included
"396 Beech St # 1, Boston, MA 02131",https://www.zillow.com/homedetails/396-Beech-St-1-Boston-MA-02131/2082103893_zpid/,"$549,000",Condo for sale,"1,366 sqft",3 bds,2 ba,"$560,318",Condo,1920,Forced air,Central,No Data,$225/month,$402,,"$2,830","$2,028/mo",$0/mo,$384/mo,$192/mo,$225/mo,Not included
"451A E.8th St, Boston, MA 02127",https://www.zillow.com/homedetails/451A-E-8th-St-Boston-MA-02127/2082356578_zpid/,"$749,000",House for sale,"1,538 sqft",2 bds,3 ba,"$730,644",Single Family,1992,Baseboard,Other,No Data,"1,306 sqft",$487,,"$3,558","$2,771/mo",$0/mo,$524/mo,$262/mo,$0/mo,Not included
"350 W 4th St APT 313, South Boston, MA 02127",https://www.zillow.com/homedetails/350-W-4th-St-APT-313-South-Boston-MA-02127/59147661_zpid/,"$524,900",Condo for sale,737 sqft,1 bd,1 ba,"$511,514",Condo,1899,Other,No Data,1 space,$368/month,$712,Great solar potentialSun Number™: 94.86,"$2,858","$1,939/mo",$0/mo,$367/mo,$184/mo,$368/mo,Not included
"9-11 Boynton St # 3, Boston, MA 02130",https://www.zillow.com/homedetails/9-11-Boynton-St-3-Boston-MA-02130/2082112654_zpid/,"$729,000",Condo for sale,"1,168 sqft",3 bds,2 ba,"$756,480",Condo,1905,Forced air,Central,1 space,$255/month,$624,,"$3,718","$2,697/mo",$0/mo,$510/mo,$255/mo,$255/mo,Not included
"24 Marlborough St APT 2, Boston, MA 02116",https://www.zillow.com/homedetails/24-Marlborough-St-APT-2-Boston-MA-02116/59172608_zpid/,"$1,824,999",Condo for sale,"1,338 sqft",3 bds,3 ba,"$1,781,582",Condo,1880,Forced air,Central,1 space,$674/month,"$1,364",Great solar potentialSun Number™: 94.38,"$9,713","$7,123/mo",$0/mo,"$1,277/mo",$639/mo,$674/mo,Not included
"43 Knoll St # 2, Boston, MA 02131",https://www.zillow.com/homedetails/43-Knoll-St-2-Boston-MA-02131/2082116271_zpid/,"$399,000",Condo for sale,"1,000 sqft",2 bds,1 ba,"$437,486",Condo,1920,Forced air,Central,No Data,$160/month,$399,,"$2,053","$1,474/mo",$0/mo,$279/mo,$140/mo,$160/mo,Not included
"20 W Cedar St, Boston, MA 02108",https://www.zillow.com/homedetails/20-W-Cedar-St-Boston-MA-02108/59173547_zpid/,"$5,495,000",House for sale,"4,068 sqft",5 bds,5 ba,"$5,176,449",Single Family,1830,Baseboard,Central,No Data,"1,742 sqft","$1,351",Great solar potentialSun Number™: 91.18,"$27,216","$21,446/mo",$0/mo,"$3,847/mo","$1,923/mo",$0/mo,Not included
"76 Moore St, East Boston, MA 02128",https://www.zillow.com/homedetails/76-Moore-St-East-Boston-MA-02128/59122535_zpid/,"$510,000",House for sale,"1,574 sqft",3 bds,2 ba,"$496,354",Single Family,1900,Baseboard,None,1 space,"2,613 sqft",$324,Candidate for a community solar programSun Number™: 21.8,"$2,420","$1,884/mo",$0/mo,$357/mo,$179/mo,$0/mo,Not included
"66 Montclair Ave, Boston, MA 02132",https://www.zillow.com/homedetails/66-Montclair-Ave-Boston-MA-02132/59142449_zpid/,"$1,050,000",House for sale,"3,254 sqft",5 bds,4 ba,"$1,029,411",Single Family,1882,Forced air,Other,1 space,"6,969 sqft",$323,Great solar potentialSun Number™: 90.94,"$5,200","$4,098/mo",$0/mo,$735/mo,$368/mo,$0/mo,Not included
"283 Old Colony Ave # 1, Boston, MA 02127",https://www.zillow.com/homedetails/283-Old-Colony-Ave-1-Boston-MA-02127/2084579051_zpid/,"$560,000",Condo for sale,848 sqft,1 bd,1 ba,"$544,851",Condo,2019,Forced air,Central,No Data,$147/month,$660,,"$2,804","$2,069/mo",$0/mo,$392/mo,$196/mo,$147/mo,Not included
"73 Dix St # 4, Boston, MA 02122",https://www.zillow.com/homedetails/73-Dix-St-4-Boston-MA-02122/2084931998_zpid/,"$629,000",Condo for sale,"1,314 sqft",2 bds,2 ba,"$614,392",Condo,2019,Forced air,Central,No Data,$225/month,$479,,"$3,213","$2,327/mo",$0/mo,$440/mo,$220/mo,$225/mo,Not included
"25 Weybosset St, Boston, MA 02136",https://www.zillow.com/homedetails/25-Weybosset-St-Boston-MA-02136/59139948_zpid/,"$610,000",Apartment for sale,"1,910 sqft",4 bds,2 ba,"$615,470",Multi Family,1920,Other,No Data,No Data,$319,,Great solar potentialSun Number™: 88.62,"$2,897","$2,257/mo",$0/mo,$427/mo,$214/mo,$0/mo,Not included
"34 Washington St APT 2B, Boston, MA 02129",https://www.zillow.com/homedetails/34-Washington-St-APT-2B-Boston-MA-02129/59100094_zpid/,"$489,900",Condo for sale,650 sqft,1 bd,1 ba,"$483,106",Condo,1900,Forced air,Wall,No Data,$328/month,$754,Great solar potentialSun Number™: 86.8,"$2,652","$1,810/mo",$0/mo,$343/mo,$171/mo,$328/mo,Not included
"54 Samoset St, Boston, MA 02124",https://www.zillow.com/homedetails/54-Samoset-St-Boston-MA-02124/59110439_zpid/,"$478,000",Foreclosure,"2,379 sqft",6 bds,2 ba,,Single Family,1890,Baseboard,None,2 spaces,"3,049 sqft",$201,Good solar potentialSun Number™: 68.2,"$2,268","$1,766/mo",$0/mo,$335/mo,$167/mo,$0/mo,Not included
"283 Webster St APT 3, Boston, MA 02128",https://www.zillow.com/homedetails/283-Webster-St-APT-3-Boston-MA-02128/2082070113_zpid/,"$879,000",Condo for sale,"1,055 sqft",2 bds,2 ba,,Condo,1910,Forced air,Central,No Data,$221/month,$833,,"$4,575","$3,431/mo",$0/mo,$615/mo,$308/mo,$221/mo,Not included
"61 Charlotte St APT 2, Boston, MA 02121",https://www.zillow.com/homedetails/61-Charlotte-St-APT-2-Boston-MA-02121/2082125786_zpid/,"$499,000",Condo for sale,"1,453 sqft",3 bds,2 ba,"$485,501",Condo,1910,Forced air,Central,No Data,$250/month,$343,,"$2,618","$1,844/mo",$0/mo,$349/mo,$175/mo,$250/mo,Not included
"159-161 Callender St, Boston, MA 02124",https://www.zillow.com/homedetails/159-161-Callender-St-Boston-MA-02124/189977927_zpid/,"$699,900",Apartment for sale,"3,364 sqft",6 bds,4 ba,"$685,878",Multi Family,1935,Forced air,No Data,1 space,$208,,,"$3,324","$2,590/mo",$0/mo,$490/mo,$245/mo,$0/mo,Not included
"167 Commonwealth Ave # A, Boston, MA 02116",https://www.zillow.com/homedetails/167-Commonwealth-Ave-A-Boston-MA-02116/2100591323_zpid/,"$1,175,000",Condo for sale,"1,243 sqft",1 bd,2 ba,"$1,156,187",Condo,1899,Forced air,Central,Off street,$618/month,$945,,"$6,438","$4,586/mo",$0/mo,$823/mo,$411/mo,$618/mo,Not included
"2 Lexington St, Boston, MA 02129",https://www.zillow.com/homedetails/2-Lexington-St-Boston-MA-02129/59101063_zpid/,"$1,399,000",House for sale,"2,315 sqft",3 bds,3 ba,"$1,384,502",Single Family,1900,Forced air,Central,No Data,871 sqft,$604,Great solar potentialSun Number™: 90.8,"$6,929","$5,460/mo",$0/mo,$979/mo,$490/mo,$0/mo,Not included
"35 Meyer St, Boston, MA 02131",https://www.zillow.com/homedetails/35-Meyer-St-Boston-MA-02131/59147271_zpid/,"$585,000",House for sale,"1,524 sqft",3 bds,2 ba,"$596,779",Single Family,1960,Baseboard,None,2 spaces,"4,791 sqft",$384,Great solar potentialSun Number™: 72.18,"$2,779","$2,164/mo",$0/mo,$410/mo,$205/mo,$0/mo,Not included
"1645 Commonwealth Ave APT 16, Boston, MA 02135",https://www.zillow.com/homedetails/1645-Commonwealth-Ave-APT-16-Boston-MA-02135/59089357_zpid/,"$355,000",Condo for sale,530 sqft,1 bd,1 ba,"$355,000",Condo,1930,Baseboard,No Data,Off street,$296/month,$670,Great solar potentialSun Number™: 86.65,"$1,980","$1,312/mo",$0/mo,$249/mo,$124/mo,$296/mo,Not included
"108 Ellington St, Boston, MA 02121",https://www.zillow.com/homedetails/108-Ellington-St-Boston-MA-02121/59102061_zpid/,"$289,900",House for sale,"1,381 sqft",3 bds,2 ba,"$286,376",Single Family,1993,Other,No Data,1 space,"1,381 sqft",$210,Great solar potentialSun Number™: 91.98,"$1,375","$1,071/mo",$0/mo,$203/mo,$101/mo,$0/mo,Not included
"79 W Cedar St, Boston, MA 02114",https://www.zillow.com/homedetails/79-W-Cedar-St-Boston-MA-02114/59173719_zpid/,"$2,650,000",House for sale,"2,208 sqft",3 bds,4 ba,"$2,563,003",Single Family,1880,Forced air,Central,On street,435 sqft,"$1,200",Great solar potentialSun Number™: 92.21,"$13,125","$10,342/mo",$0/mo,"$1,855/mo",$928/mo,$0/mo,Not included
"32 Lime St, Boston, MA 02108",https://www.zillow.com/homedetails/32-Lime-St-Boston-MA-02108/59172802_zpid/,"$6,350,000",House for sale,"5,194 sqft",5 bds,5 ba,"$6,049,380",Single Family,1890,"Baseboard, Forced air",Central,No Data,"1,306 sqft","$1,223",Great solar potentialSun Number™: 90.38,"$31,450","$24,783/mo",$0/mo,"$4,445/mo","$2,223/mo",$0/mo,Not included
"49 Hancock St APT 7, Boston, MA 02114",https://www.zillow.com/homedetails/49-Hancock-St-APT-7-Boston-MA-02114/59180705_zpid/,"$999,000",Condo for sale,920 sqft,2 bds,1 ba,"$976,143",Condo,1880,Baseboard,No Data,No Data,$482/month,"$1,086",Great solar potentialSun Number™: 92.21,"$5,430","$3,899/mo",$0/mo,$699/mo,$350/mo,$482/mo,Not included
"153 L St # 3, South Boston, MA 02127",https://www.zillow.com/homedetails/153-L-St-3-South-Boston-MA-02127/102988080_zpid/,"$599,000",Condo for sale,865 sqft,2 bds,2 ba,"$582,996",Condo,1905,Forced air,Central,No Data,$175/month,$692,Great solar potentialSun Number™: 86.06,"$3,020","$2,216/mo",$0/mo,$419/mo,$210/mo,$175/mo,Not included
"1010 Centre St UNIT 6, Boston, MA 02130",https://www.zillow.com/homedetails/1010-Centre-St-UNIT-6-Boston-MA-02130/59136447_zpid/,"$410,000",Condo for sale,"1,218 sqft",2 bds,2 ba,"$428,437",Condo,1885,Forced air,No Data,1 space,$800/month,$337,Candidate for a community solar programSun Number™: 39.98,"$2,745","$1,515/mo",$0/mo,$287/mo,$144/mo,$800/mo,Not included
"359 Park St APT 4, Boston, MA 02124",https://www.zillow.com/homedetails/359-Park-St-APT-4-Boston-MA-02124/2082071486_zpid/,"$380,000",Condo for sale,752 sqft,2 bds,1 ba,,Condo,1899,Forced air,Central,No Data,$200/month,$505,,"$2,003","$1,404/mo",$0/mo,$266/mo,$133/mo,$200/mo,Not included
"40 Soley St # 2, Boston, MA 02129",https://www.zillow.com/homedetails/40-Soley-St-2-Boston-MA-02129/59101475_zpid/,"$899,900",Condo for sale,"1,235 sqft",2 bds,2 ba,"$895,163",Condo,1899,"Forced air, Heat pump",Central,On street,$300/month,$729,Great solar potentialSun Number™: 79.6,"$4,757","$3,512/mo",$0/mo,$630/mo,$315/mo,$300/mo,Not included
"234 W Newton St APT 2, Boston, MA 02116",https://www.zillow.com/homedetails/234-W-Newton-St-APT-2-Boston-MA-02116/71558253_zpid/,"$710,000",Condo for sale,635 sqft,2 bds,1 ba,"$691,811",Condo,1899,Baseboard,None,1 space,$186/month,"$1,118",Great solar potentialSun Number™: 85.58,"$3,558","$2,627/mo",$0/mo,$497/mo,$249/mo,$186/mo,Not included
"259 Marlborough St APT 4, Boston, MA 02116",https://www.zillow.com/homedetails/259-Marlborough-St-APT-4-Boston-MA-02116/59167079_zpid/,"$674,900",Condo for sale,635 sqft,Studio,1 ba,"$656,658",Condo,1885,Other,No Data,1 space,$472/month,"$1,063",Great solar potentialSun Number™: 92.78,"$3,678","$2,497/mo",$0/mo,$472/mo,$236/mo,$472/mo,Not included
"4 Wentworth St, Boston, MA 02124",https://www.zillow.com/homedetails/4-Wentworth-St-Boston-MA-02124/59108178_zpid/,"$599,900",House for sale,"1,972 sqft",5 bds,3 ba,"$584,190",Single Family,1875,Forced air,Central,4 spaces,"5,662 sqft",$304,Great solar potentialSun Number™: 93.8,"$2,849","$2,220/mo",$0/mo,$420/mo,$210/mo,$0/mo,Not included
"43 Wachusett St # 1, Boston, MA 02130",https://www.zillow.com/homedetails/43-Wachusett-St-1-Boston-MA-02130/60112526_zpid/,"$499,900",Condo for sale,"2,336 sqft",4 bds,4 ba,"$500,870",Condo,2019,Forced air,Central,On street,$260/month,$214,Great solar potentialSun Number™: 87.98,"$2,632","$1,847/mo",$0/mo,$350/mo,$175/mo,$260/mo,Not included
"180 Gold St # 5, South Boston, MA 02127",https://www.zillow.com/homedetails/180-Gold-St-5-South-Boston-MA-02127/123851038_zpid/,"$679,000",Condo for sale,819 sqft,2 bds,1 ba,"$666,308",Condo,1930,Forced air,Central,1 space,$179/month,$829,Candidate for a community solar programSun Number™: 22.86,"$3,401","$2,509/mo",$0/mo,$475/mo,$238/mo,$179/mo,Not included
"25 Saint Gregory St #1, Boston, MA 02124",https://www.zillow.com/homedetails/25-Saint-Gregory-St-1-Boston-MA-02124/190017397_zpid/,"$539,900",Condo for sale,"1,051 sqft",2 bds,2 ba,"$525,294",Condo,1925,Forced air,Central,2 spaces,No Data,$514,,"$2,565","$1,998/mo",$0/mo,$378/mo,$189/mo,$0/mo,Not included
"86 Chestnut St, Boston, MA 02108",https://www.zillow.com/homedetails/86-Chestnut-St-Boston-MA-02108/2096779041_zpid/,"$6,450,000",House for sale,"3,607 sqft",4 bds,5 ba,"$6,104,464",Single Family,2019,Forced air,Central,Detached Garage,"1,306 sqft","$1,788",Great solar potentialSun Number™: 94.38,"$31,928","$25,155/mo",$0/mo,"$4,515/mo","$2,258/mo",$0/mo,Not included
"106 Msgr Patrick J Lydon Way # 106, Boston, MA 02124",https://www.zillow.com/homedetails/106-Msgr-Patrick-J-Lydon-Way-106-Boston-MA-02124/2082270368_zpid/,"$369,900",Condo for sale,800 sqft,2 bds,1 ba,"$359,893",Condo,1900,Gas,None,No Data,$200/month,$462,,"$1,957","$1,369/mo",$0/mo,$259/mo,$129/mo,$200/mo,Not included
"77 Park Dr # 81, Boston, MA 02215",https://www.zillow.com/homedetails/77-Park-Dr-81-Boston-MA-02215/2082677332_zpid/,"$30,000,000",Apartment for sale,"30,500 sqft",99 bds,55 ba,,Multi Family,1910,No Data,No Data,No Data,$984,,,"$148,500","$117,000/mo",$0/mo,"$21,000/mo","$10,500/mo",$0/mo,Not included
"42 Thompson St, Boston, MA 02136",https://www.zillow.com/homedetails/42-Thompson-St-Boston-MA-02136/2082511061_zpid/,"$799,000",House for sale,"2,350 sqft",4 bds,3 ba,"$794,704",Single Family,2019,Forced air,Central,No Data,"5,662 sqft",$340,,"$3,792","$2,953/mo",$0/mo,$559/mo,$280/mo,$0/mo,Not included
"142 D St # 2, Boston, MA 02127",https://www.zillow.com/homedetails/142-D-St-2-Boston-MA-02127/2141267167_zpid/,"$679,000",Condo for sale,"1,228 sqft",2 bds,2 ba,"$669,381",Condo,1890,Forced air,Central,On street,$196/month,$553,Great solar potentialSun Number™: 94.86,"$3,418","$2,509/mo",$0/mo,$475/mo,$238/mo,$196/mo,Not included
"13 Mystic St # 1, Charlestown, MA 02129",https://www.zillow.com/homedetails/13-Mystic-St-1-Charlestown-MA-02129/2082307995_zpid/,"$979,000",Condo for sale,"1,448 sqft",3 bds,3 ba,"$968,854",Condo,1885,Forced air,Central,1 space,$245/month,$676,,"$5,091","$3,818/mo",$0/mo,$685/mo,$343/mo,$245/mo,Not included
"371 Beacon St APT 7, Boston, MA 02116",https://www.zillow.com/homedetails/371-Beacon-St-APT-7-Boston-MA-02116/59169521_zpid/,"$660,000",Condo for sale,582 sqft,1 bd,1 ba,"$650,175",Condo,1886,Radiant,None,No Data,$452/month,"$1,134",Great solar potentialSun Number™: 94.38,"$3,584","$2,439/mo",$0/mo,$462/mo,$231/mo,$452/mo,Not included
"463 Sumner St # 1, East Boston, MA 02128",https://www.zillow.com/homedetails/463-Sumner-St-1-East-Boston-MA-02128/87792135_zpid/,"$489,000",Condo for sale,"1,415 sqft",2 bds,1 ba,"$482,607",Condo,1890,Forced air,Central,On street,$150/month,$346,Great solar potentialSun Number™: 92.2,"$2,473","$1,809/mo",$0/mo,$342/mo,$171/mo,$150/mo,Not included
"61 W Cedar St # 2, Boston, MA 02114",https://www.zillow.com/homedetails/61-W-Cedar-St-2-Boston-MA-02114/59173708_zpid/,"$769,000",Condo for sale,750 sqft,2 bds,1 ba,"$758,217",Condo,1900,Baseboard,Other,On street,$387/month,"$1,025",Great solar potentialSun Number™: 93.01,"$4,036","$2,842/mo",$0/mo,$538/mo,$269/mo,$387/mo,Not included
"1140 Washington St APT 2C, Boston, MA 02118",https://www.zillow.com/homedetails/1140-Washington-St-APT-2C-Boston-MA-02118/63710544_zpid/,"$899,000",Condo for sale,"1,159 sqft",2 bds,1 ba,"$945,000",Condo,1910,Baseboard,None,On street,$556/month,$776,Great solar potentialSun Number™: 94.38,"$5,006","$3,506/mo",$0/mo,$629/mo,$315/mo,$556/mo,Not included
"280 Temple St, Boston, MA 02132",https://www.zillow.com/homedetails/280-Temple-St-Boston-MA-02132/59158714_zpid/,"$538,500",House for sale,"1,363 sqft",3 bds,1 ba,"$544,094",Single Family,1924,Baseboard,None,Detached Garage,"6,098 sqft",$395,Great solar potentialSun Number™: 91.74,"$2,558","$1,993/mo",$0/mo,$377/mo,$188/mo,$0/mo,Not included
"4 Cuthbert Rd, Boston, MA 02132",https://www.zillow.com/homedetails/4-Cuthbert-Rd-Boston-MA-02132/59156684_zpid/,"$769,500",House for sale,"1,747 sqft",4 bds,2 ba,"$769,502",Single Family,1930,Baseboard,None,2 spaces,"5,227 sqft",$440,Great solar potentialSun Number™: 90.94,"$3,652","$2,844/mo",$0/mo,$539/mo,$269/mo,$0/mo,Not included
"36 Auckland St # C, Boston, MA 02125",https://www.zillow.com/homedetails/36-Auckland-St-C-Boston-MA-02125/2082085334_zpid/,"$599,999",Condo for sale,"1,130 sqft",3 bds,1 ba,"$583,981",Condo,1905,Forced air,Central,No Data,$225/month,$531,,"$3,072","$2,217/mo",$0/mo,$420/mo,$210/mo,$225/mo,Not included
"45 Washington St, Boston, MA 02136",https://www.zillow.com/homedetails/45-Washington-St-Boston-MA-02136/59127874_zpid/,"$425,000",House for sale,"1,192 sqft",2 bds,2 ba,"$429,732",Single Family,1900,Baseboard,No Data,2 spaces,"4,791 sqft",$357,,"$2,019","$1,573/mo",$0/mo,$298/mo,$149/mo,$0/mo,Not included
"27A Hecla St, Boston, MA 02122",https://www.zillow.com/homedetails/27A-Hecla-St-Boston-MA-02122/2088593375_zpid/,"$359,000",House for sale,"1,243 sqft",2 bds,2 ba,,Single Family,1910,Radiant,None,No Data,"3,484 sqft",$289,,"$1,705","$1,328/mo",$0/mo,$251/mo,$126/mo,$0/mo,Not included
"135 Granite Ave APT 22, Boston, MA 02124",https://www.zillow.com/homedetails/135-Granite-Ave-APT-22-Boston-MA-02124/59119096_zpid/,"$369,000",Condo for sale,768 sqft,2 bds,1 ba,"$359,017",Condo,1967,Baseboard,Wall,1 space,$311/month,$480,Candidate for a community solar programSun Number™: 21.8,"$2,064","$1,365/mo",$0/mo,$258/mo,$129/mo,$311/mo,Not included
"291 Shawmut Ave # 3, Boston, MA 02118",https://www.zillow.com/homedetails/291-Shawmut-Ave-3-Boston-MA-02118/63042140_zpid/,"$1,799,000",Condo for sale,"1,547 sqft",2 bds,2 ba,"$1,797,167",Condo,1860,Forced air,Central,No Data,$400/month,"$1,163",Great solar potentialSun Number™: 90.38,"$9,305","$7,016/mo",$0/mo,"$1,259/mo",$630/mo,$400/mo,Not included
"374 Columbus Ave APT C, Boston, MA 02116",https://www.zillow.com/homedetails/374-Columbus-Ave-APT-C-Boston-MA-02116/2084033429_zpid/,"$565,000",Condo for sale,570 sqft,1 bd,1 ba,"$557,590",Condo,1867,Baseboard,None,No Data,$709/month,$991,,"$3,393","$2,091/mo",$0/mo,$396/mo,$198/mo,$709/mo,Not included
"178 Hyde Park Ave # 3, Boston, MA 02130",https://www.zillow.com/homedetails/178-Hyde-Park-Ave-3-Boston-MA-02130/81859722_zpid/,"$399,900",Condo for sale,"1,300 sqft",2 bds,2 ba,"$489,936",Condo,1899,Baseboard,Central,1 space,$576/month,$308,Great solar potentialSun Number™: 89.58,"$2,476","$1,480/mo",$0/mo,$280/mo,$140/mo,$576/mo,Not included
"63 Myrtle St # 6, Boston, MA 02114",https://www.zillow.com/homedetails/63-Myrtle-St-6-Boston-MA-02114/2138858206_zpid/,"$1,599,000",Condo for sale,"1,332 sqft",3 bds,2 ba,"$1,574,225",Condo,1900,Baseboard,Central,On street,$366/month,"$1,200",,"$8,281","$6,236/mo",$0/mo,"$1,119/mo",$560/mo,$366/mo,Not included
"149 Webster St # 1, East Boston, MA 02128",https://www.zillow.com/homedetails/149-Webster-St-1-East-Boston-MA-02128/118324937_zpid/,"$425,000",Condo for sale,665 sqft,1 bd,1 ba,"$413,503",Condo,1900,Forced air,Central,No Data,$238/month,$639,Great solar potentialSun Number™: 93,"$2,257","$1,573/mo",$0/mo,$298/mo,$149/mo,$238/mo,Not included
"113 Sumner St # 42, East Boston, MA 02128",https://www.zillow.com/homedetails/113-Sumner-St-42-East-Boston-MA-02128/71490097_zpid/,"$375,000",Condo for sale,785 sqft,2 bds,1 ba,"$367,280",Condo,2004,Forced air,Central,On street,$494/month,$478,Great solar potentialSun Number™: 93.8,"$2,275","$1,388/mo",$0/mo,$263/mo,$131/mo,$494/mo,Not included
