Title,Title_link,list-card-price,list-card-type,Field1,Field2,list-card-details,Zestimate,Type,Year built,Heating,Cooling,Parking,HOA/Lot,Price/sqft,Monthly cost
"1022 Mayson Turner Rd NW, Atlanta, GA 30314",https://www.zillow.com/homedetails/1022-Mayson-Turner-Rd-NW-Atlanta-GA-30314/35834182_zpid/,"Est. $55,499",Pre-foreclosure / Auction,5 bds,3 ba,"3,400 sqft","$55,499",Single Family,1928,"Forced air, Heat pump",Central,No Data,"5,619 sqft",,$296
"658 Cascade Ave SW, Atlanta, GA 30310",https://www.zillow.com/homedetails/658-Cascade-Ave-SW-Atlanta-GA-30310/35842033_zpid/,"Est. $227,984",Pre-foreclosure / Auction,6 bds,3 ba,"1,802 sqft","$227,984",Multiple Occupancy,1925,Other,Central,No Data,,,"$1,120"
"1932 S Gordon St SW, Atlanta, GA 30310",https://www.zillow.com/homedetails/1932-S-Gordon-St-SW-Atlanta-GA-30310/35847438_zpid/,"Est. $221,913",Pre-foreclosure / Auction,2 bds,1 ba,"1,316 sqft","$221,913",Single Family,1945,Forced air,Central,No Data,"8,159 sqft",,"$1,136"
"269 Sewanee Ave NW, Atlanta, GA 30314",https://www.zillow.com/homedetails/269-Sewanee-Ave-NW-Atlanta-GA-30314/35857291_zpid/,"Est. $59,740",Pre-foreclosure / Auction,2 bds,1 ba,676 sqft,"$59,740",Single Family,1950,Forced air,Other,No Data,"9,557 sqft",,$319
"868 Amber Pl NW, Atlanta, GA 30331",https://www.zillow.com/homedetails/868-Amber-Pl-NW-Atlanta-GA-30331/65448963_zpid/,"Est. $69,980",Pre-foreclosure / Auction,3 bds,1 ba,854 sqft,"$69,980",Single Family,1958,Other,Central,No Data,"9,100 sqft",,$373
"B-1A Terrace Plan, 788 West Midtown",https://www.zillow.com/community/788-west-midtown/2085118315_zpid/,"$594,900+",New construction,2 bds,2 ba,"1,246 sqft","$578,718",Condo,2019,Heat pump,Central,Attached Garage,No Data,$477,"$2,918"
"1417 Andrews St NW, Atlanta, GA 30314",https://www.zillow.com/homedetails/1417-Andrews-St-NW-Atlanta-GA-30314/35844493_zpid/,"$160,000",House for sale,3 bds,1 ba,"1,176 sqft","$151,116",Single Family,1965,Forced air,Central,Carport,"7,840 sqft",$136,$819
"810 Kirkwood Ave SE, Atlanta, GA 30316",https://www.zillow.com/homedetails/810-Kirkwood-Ave-SE-Atlanta-GA-30316/2082295984_zpid/,"$599,900",Coming soon,2 bds,3 ba,"1,700 sqft","$536,604",Single Family,2019,No Data,No Data,1 space,No Data,$353,"$2,942"
"1280 W Peachtree St NW APT 1902, Atlanta, GA 30309",https://www.zillow.com/homedetails/1280-W-Peachtree-St-NW-APT-1902-Atlanta-GA-30309/71557868_zpid/,"$182,000",Condo for sale,1 bd,1 ba,625 sqft,"$177,640",Condo,1989,Forced air,Central,1 space,$332/month,$291,"$1,264"
"1395 Stirling Cir NW, Atlanta, GA 30318",https://www.zillow.com/homedetails/1395-Stirling-Cir-NW-Atlanta-GA-30318/88811108_zpid/,"$435,000",Make Me Move®,2 bds,3 ba,"1,832 sqft","$388,065",Townhouse,2007,Forced air,Central,2 spaces,"1,307 sqft",$237,"$2,412"
"3107 Peachtree Rd NE # 1504, Atlanta, GA 30305",https://www.zillow.com/homedetails/3107-Peachtree-Rd-NE-1504-Atlanta-GA-30305/2082296660_zpid/,"$1,899,000",Condo for sale,3 bds,3 ba,"2,420 sqft","$1,818,347",Condo,2019,No Data,No Data,2 spaces,"$1,621/month",$785,"$11,220"
"607 Federal Ter SE # 24, Atlanta, GA 30315",https://www.zillow.com/homedetails/607-Federal-Ter-SE-24-Atlanta-GA-30315/2082298152_zpid/,"$325,000",House for sale,3 bds,3 ba,"1,175 sqft","$319,386",Single Family,2004,Forced air,Central,4 spaces,"7,492 sqft",$277,"$1,596"
"502 Pryor St SW UNIT 129, Atlanta, GA 30312",https://www.zillow.com/homedetails/502-Pryor-St-SW-UNIT-129-Atlanta-GA-30312/82629852_zpid/,"$99,900",Condo for sale,1 bd,1 ba,750 sqft,"$99,059",Condo,2002,Electric,Central,1 space,$234/month,$133,$767
"266 11th St NE UNIT 203, Atlanta, GA 30309",https://www.zillow.com/homedetails/266-11th-St-NE-UNIT-203-Atlanta-GA-30309/61888547_zpid/,"$324,900",Condo for sale,1 bd,1 ba,833 sqft,"$318,892",Condo,1911,Forced air,Central,1 space,$351/month,$390,"$1,947"
"3203 Lenox Rd NE APT 22, Atlanta, GA 30324",https://www.zillow.com/homedetails/3203-Lenox-Rd-NE-APT-22-Atlanta-GA-30324/35938921_zpid/,"$270,000",Condo for sale,2 bds,2 ba,"1,249 sqft","$270,246",Condo,1985,Forced air,Central,4 spaces,$584/month,$216,"$1,910"
"The Reynolds Plan, Madison Yards at Reynoldstown",https://www.zillow.com/community/madison-yards-at-reynoldstown/2082390357_zpid/,"$699,900+",New construction,3 bds,5 ba,"2,907 sqft","$683,993",Townhouse,2019,No Data,No Data,No Data,No Data,$241,"$3,538"
"Opus Place C Plan, No. 2 Opus Place",https://www.zillow.com/community/no-2-opus-place/2085110477_zpid/,"$1,307,900+",New construction,2 bds,3 ba,"1,777 sqft","$1,268,315",Condo,2019,No Data,No Data,2 spaces,No Data,$736,"$6,611"
"2363 Cross St NW, Atlanta, GA 30318",https://www.zillow.com/homedetails/2363-Cross-St-NW-Atlanta-GA-30318/35856701_zpid/,"$249,900",House for sale,4 bds,2 ba,"2,000 sqft","$240,644",Single Family,1940,Forced air,Central,2 spaces,"8,973 sqft",$125,"$1,279"
"1023 Mayson Turner Rd NW, Atlanta, GA 30314",https://www.zillow.com/homedetails/1023-Mayson-Turner-Rd-NW-Atlanta-GA-30314/35834091_zpid/,"$45,000",Lot / Land for sale,"6,185 sqft lot",,,,,,,,,,,$240
