Address,Soldprice,Bedrooms,Bathrooms,Area,Year built,LRY,Parking,Lot,Zestimate,lat,lng,label,Avgprice,Type_Single Family,Type_Townhouse,Heating_Baseboard,Heating_Electric,Heating_Forced air,"Heating_Forced air, Heat pump","Heating_Forced air, Other","Heating_Forced air, Radiant",Heating_Gas,Heating_Heat pump,"Heating_Heat pump, Other",Heating_No Data,Heating_None,Heating_Other,Heating_Radiant,Heating_Stove,Cooling_Central,"Cooling_Central, Other","Cooling_Central, Refrigeration",Cooling_No Data,Cooling_None,Cooling_Other
30305,0.07285819263089868,0.0,-0.5571011354628996,-0.6645164397278431,-0.7698083406449184,0.0033793868806396574,1.1400511632580099e-14,-0.15597024306950563,0.06013770753866793,33.835697174072266,-84.38911437988281,4,0.67727894,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
30306,0.7870682488238594,0.0,-0.47189743239210324,0.23016746180193456,-1.5284992306247835,-5.804995925067511e-13,-1.6118562897931037,-0.5640868969954725,0.8115093258186504,33.78932189941406,-84.35150146484375,1,0.525583,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
30318,0.6279941908536091,0.0,-0.47189743239210324,0.33873290599341344,1.4759166936954826,-5.804995925067511e-13,0.9553107072229334,1.078999455387287e-15,0.6426775495133534,33.792301177978516,-84.44786071777344,0,-0.60014594,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
30305,0.12155433282587327,0.0,-0.5571011354628996,-0.6161197959316417,-0.6180701626489454,0.5465845374171525,1.1400511632580099e-14,-0.1792631463440907,0.11199749433361478,33.835697174072266,-84.38911437988281,4,0.67727894,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
30342,-0.49526344297713826,0.0,1.402584035165418,-0.32573993315443317,0.01923018493414141,-5.804995925067511e-13,1.1400511632580099e-14,1.078999455387287e-15,-0.5299933570697472,33.882179260253906,-84.37528991699219,3,0.2691243,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
30318,-0.6579085512283535,0.0,2.254621065873382,-0.3715205421508399,0.3530541765252821,-0.15958215828031422,1.1400511632580099e-14,-0.8424415533687704,-0.69804498091492,33.792301177978516,-84.44786071777344,0,-0.60014594,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
30318,-0.9987815325931756,0.0,-0.5571011354628996,-1.2387360782827737,-1.5284992306247835,-3.5274540916066943,1.1400511632580099e-14,-0.3261601532022017,-1.059096147493148,33.792301177978516,-84.44786071777344,0,-0.60014594,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
30309,2.962162510866058,0.0,2.254621065873382,2.3923202238322308,-1.3767610526288105,-0.2682231883876168,1.1400511632580099e-14,0.28729102890064373,3.0655733011503288,33.79988479614258,-84.38580322265625,1,0.525583,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
30324,0.3390637590300931,0.0,-0.3866937293213068,0.0,1.445569058096288,-5.804995925067511e-13,1.1400511632580099e-14,1.078999455387287e-15,0.339842716296475,33.81840515136719,-84.3581771850586,1,0.525583,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
30318,-0.1706225083439745,0.0,-0.47189743239210324,0.4172139499872536,-0.7698083406449184,-0.2682231883876168,-0.3282727912850851,-0.21808465180173234,-0.18627514297514652,33.792301177978516,-84.44786071777344,0,-0.60014594,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
30309,-0.2842468354655815,0.0,-0.5571011354628996,-1.0019849289013558,-0.07181272186344241,-0.8114283389241297,1.1400511632580099e-14,0.365041133624086,-0.310058202659102,33.79988479614258,-84.38580322265625,1,0.525583,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
30318,-1.4204901066816555,0.0,-0.5571011354628996,-0.9745165635035117,-0.3449414422561939,1.6873153535438297,1.1400511632580099e-14,0.05404071473031632,-1.2863206394551268,33.792301177978516,-84.44786071777344,0,-0.60014594,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
30305,0.3971744863294295,0.0,2.254621065873382,0.3635852365914628,1.445569058096288,-5.804995925067511e-13,1.1400511632580099e-14,1.078999455387287e-15,0.405850398357412,33.835697174072266,-84.38911437988281,4,0.67727894,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
30318,-0.8686005178052768,0.0,-0.3866937293213068,-0.8803393107109035,1.0510497953067581,1.0897896879536655,-0.3282727912850851,-0.9373088184296282,-0.9189773736876369,33.792301177978516,-84.44786071777344,0,-0.60014594,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
30305,1.2902616975052636,0.0,-0.47189743239210324,0.5113912027798617,0.3530541765252821,-5.804995925067511e-13,-0.3282727912850851,-0.7818443069187961,1.347256980021978,33.835697174072266,-84.38911437988281,4,0.67727894,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
30324,-0.12772770165089434,0.0,2.254621065873382,-0.1556976711677795,1.445569058096288,-5.804995925067511e-13,1.1400511632580099e-14,1.078999455387287e-15,-0.14347869258651125,33.81840515136719,-84.3581771850586,1,0.525583,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
30342,0.8909533479064718,0.0,-0.47189743239210324,0.7049777779646674,-0.2538985354586101,-0.8114283389241297,-0.3282727912850851,0.7537916572412985,0.9174777736740324,33.882179260253906,-84.37528991699219,3,0.2691243,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
